"titulo";"distribuidora_pdf_heuristica";"fecha_estreno";"recaudacion";"espectadores";"anio";"anio_reposicion";"titulo_busqueda";"articulo";"icaa_id";"titulo_icaa";"distribuidora_nacional_icaa";"distribuidor_internacional_icaa";"fecha_estreno_ficha";"tipo_icaa";"genero_icaa";"tags_icaa";"genero_final";"genero_fuente";"nacionalidad_paises_icaa";"directores_icaa";"guionistas_icaa";"subvenciones_icaa";"subvenciones_total";"empresas_productoras_icaa";"clave_grupo"
"A todo tren. Destino Asturias";"Warner Bros";"08/07/2021";8493358.0;1500811;2021;"";"A todo tren. Destino Asturias";"";157420.0;"¡A TODO TREN! DESTINO ASTURIAS";"WARNER BROS ENTERTAINMENT ESPAÑA, S.L. (02J728)";"LATIDO FILMS (98J1003); LATIDO CONSORCIO EXPORTACIÓN DE CINE ESPAÑOL, S.L. (07J152)";"08/07/2021";"Cine - Ficción";"Comedia";"[""Comedia"", ""Familiar""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Santiago Segura""]";"[""Santiago Segura"", ""Marta González De Vega""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 480000.0}]";480000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""TODOS AL TREN LA PELICULA, A.I.E. (01J7884)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ATRESMEDIA CINE, S.L. (01J2040)"", ""porcentaje_empresa"": 0.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""BOWFINGER INTERNATIONAL PICTURES, S.L. (01J2830)"", ""porcentaje_empresa"": 0.5}]";"157420"
"Way Down";"Sony";"12/11/2021";5628247.0;887897;2021;"";"Way Down";"";41519.0;"WAY DOWN";"SONY PICTURES ENTERTAINMENT IBERIA, S.L.U. (02J1289)";"";"12/11/2021";"Cine - Ficción";"Aventuras";"[""Aventuras"", ""Acción"", ""Thriller"", ""Atracos - Robos""]";"Aventuras";"ficha_genero";"España (100.0%)";"[""Jaume Balagueró""]";"[""Michel Gaztambide"", ""Andres Koppel"", ""Rafa Martínez"", ""Rowan Dinar Athale"", ""Borja González Santaolalla""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 700000.0}]";700000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""EL TESORO DE DRAKE, A.I.E. (01J7333)"", ""porcentaje_empresa"": 89.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""TELECINCO CINEMA, S.A.U. (01J2383)"", ""porcentaje_empresa"": 10.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""THINK STUDIO, S.L.U. (01J3173)"", ""porcentaje_empresa"": 0.25}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""PRODUCCIONES CINEMATOGRAFICAS CIUDADANO CISKUL, S.L. (01J4000)"", ""porcentaje_empresa"": 0.25}]";"41519"
"Operacion Camaron";"Walt Disney";"24/06/2021";3522415.0;597700;2021;"";"Operacion Camaron";"";56519.0;"OPERACIÓN CAMARÓN";"THE WALT DISNEY COMPANY IBERIA, S.L. (02J609)";"FILMAX (INTERNATIONAL SALES) (98J1061)";"22/06/2021";"Cine - Ficción";"Comedia";"[""Acción"", ""Comedia""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Carlos Therón""]";"[""Manuel Burque Hodgson"", ""Josep Gatell Castro""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 1000000.0}]";1000000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LA PEPA LA PELICULA, A.I.E. (01J6649)"", ""porcentaje_empresa"": 89.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""TELECINCO CINEMA, S.A.U. (01J2383)"", ""porcentaje_empresa"": 10.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LA PEPA, P.C. S.L. (01J6775)"", ""porcentaje_empresa"": 1.0}]";"56519"
"Buen patron, El";"Tri Pictures";"15/10/2021";3336892.0;528523;2021;"";"Buen patron";"El";159020.0;"EL BUEN PATRÓN";"TRIPICTURES, S.L. (02J1114)";"";"14/10/2021";"Cine - Ficción";"Comedia - drama";"[""Comedia"", ""Drama""]";"Comedia - drama";"ficha_genero";"España (100.0%)";"[""Fernando León De Aranoa""]";"[""Fernando León De Aranoa""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 1400000.0}]";1400000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""BASCULAS BLANCO, A.I.E. (01J8033)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""REPOSADO PRODUCCIONES CINEMATOGRAFICAS, S.L. (01J2711)"", ""porcentaje_empresa"": 0.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MEDIAPRO CINE, S.L.U. (01J7344)"", ""porcentaje_empresa"": 0.5}]";"159020"
"Maixabel";"Walt Disney";"24/09/2021";2828416.0;515293;2021;"";"Maixabel";"";157320.0;"MAIXABEL";"THE WALT DISNEY COMPANY IBERIA, S.L. (02J609)";"FILM FACTORY ENTERTAINMENT, S.L. (02J961)";"24/09/2021";"Cine - Ficción";"Drama";"[""Drama"", ""Basado en hechos reales"", ""ETA""]";"Drama";"ficha_genero";"España (100.0%)";"[""Iciar Bollain""]";"[""Iciar Bollain"", ""Isa Campo""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 840000.0}]";840000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MAIXABEL FILM, A.I.E. (01J7847)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""KOWALSKI FILMS, S.L. (01J3812)"", ""porcentaje_empresa"": 0.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""FEELGOOD MEDIA, S.L. (01J6313)"", ""porcentaje_empresa"": 0.5}]";"157320"
"Madres paralelas";"Sony";"08/10/2021";2627717.0;426582;2021;"";"Madres paralelas";"";151020.0;"MADRES PARALELAS";"SONY PICTURES ENTERTAINMENT IBERIA, S.L.U. (02J1289)";"";"08/10/2021";"Cine - Ficción";"Drama";"[""Drama"", ""Maternidad""]";"Drama";"ficha_genero";"España (100.0%)";"[""Pedro Almodóvar""]";"[""Pedro Almodóvar""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 480000.0}]";480000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""REMOTAMENTE FILMS, A.I.E. (01J7877)"", ""porcentaje_empresa"": 95.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""EL DESEO D.A. S.L. (01J2217)"", ""porcentaje_empresa"": 5.0}]";"151020"
"Mama o Papa";"Warner Bros";"17/12/2021";1814261.0;295223;2021;"";"Mama o Papa";"";53020.0;"MAMÁ O PAPÁ";"WARNER BROS ENTERTAINMENT ESPAÑA, S.L. (02J728)";"FILM FACTORY ENTERTAINMENT, S.L. (02J961)";"17/12/2021";"Cine - Ficción";"Comedia";"[""Comedia"", ""Humor negro"", ""Divorcio"", ""Matrimonio"", ""Relaciones familiares""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Dani De La Orden""]";"[""Eric Navarro""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ÁLAMO AUDIOVISUAL SÉPTIMA PARTE, A.I.E. (01J7784)"", ""porcentaje_empresa"": 99.3}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ATRESMEDIA CINE, S.L. (01J2040)"", ""porcentaje_empresa"": 0.25}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""WARNER BROS ENTERTAINMENT ESPAÑA, S.L. (01J2798)"", ""porcentaje_empresa"": 0.25}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ALAMO PRODUCCIONES AUDIOVISUALES, S.L. (01J6728)"", ""porcentaje_empresa"": 0.2}]";"53020"
"Familia perfecta, La";"Universal";"03/12/2021";1309944.0;202597;2021;"";"Familia perfecta";"La";157419.0;"LA FAMILIA PERFECTA";"UNIVERSAL PICTURES INTERNATIONAL SPAIN, S.L. (02J22)";"";"03/12/2021";"Cine - Ficción";"Comedia";"[""Comedia""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Arantxa Echevarría""]";"[""Olatz Arroyo""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 200000.0}]";200000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""THE SNAKE FILMS, A.I.E. (01J6733)"", ""porcentaje_empresa"": 98.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ATRESMEDIA CINE, S.L. (01J2040)"", ""porcentaje_empresa"": 1.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LAZONA PRODUCCIONES, S.L. (01J6288)"", ""porcentaje_empresa"": 1.0}]";"157419"
"D'Artacan y los tres mosqueperros";"A Contracorriente";"18/08/2021";1181161.0;216848;2021;"";"D'Artacan y los tres mosqueperros";"";193316.0;"D´ARTACÁN Y LOS TRES MOSQUEPERROS";"A CONTRACORRIENTE FILMS, S.L. (02J861)";"";"17/08/2021";"Cine - Animación";"Animación";"";"Animación";"ficha_genero";"Sin determinar (100.0%)";"[""Toni Garcia""]";"";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""APOLO FILMS, S.L (01J6274)"", ""porcentaje_empresa"": 100.0}]";"193316"
"García y García";"A Contracorriente";"27/08/2021";1025363.0;176181;2021;"";"García y García";"";158619.0;"GARCÍA Y GARCÍA";"A CONTRACORRIENTE FILMS, S.L. (02J861)";"LATIDO CONSORCIO EXPORTACIÓN DE CINE ESPAÑOL, S.L. (07J152)";"24/08/2021";"Cine - Ficción";"Comedia";"[""Comedia"", ""Familia"", ""Aventuras""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Ana Murugarren""]";"[""Ana Murugarren"", ""Ana Galán""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 200000.0}]";200000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""VOLAR ES UN PLACER, A.I.E. (01J7578)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""BLOGMEDIA, S.L. (01J3446)"", ""porcentaje_empresa"": 0.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""CLARQ FILMS, S.L. (01J7579)"", ""porcentaje_empresa"": 0.5}]";"158619"
"Hasta el cielo";"Universal";"18/12/2020";1021719.0;156723;2021;"";"Hasta el cielo";"";178918.0;"HASTA EL CIELO";"UNIVERSAL PICTURES INTERNATIONAL SPAIN, S.L. (02J22)";"FILM CONSTELLATION (98F1129)";"16/12/2020";"Cine - Ficción";"Thriller";"[""Thriller"", ""Acción""]";"Thriller";"ficha_genero";"España (100.0%)";"[""Daniel Calparsoro""]";"[""Jorge Guerricaechevarría""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 200000.0}]";200000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""HASTA EL CIELO 2019, A.I.E. (01J7132)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""VACA FILMS STUDIO, S.L. (01J2471)"", ""porcentaje_empresa"": 1.0}]";"178918"
"Descarrilados";"Sony";"20/08/2021";992014.0;171104;2021;"";"Descarrilados";"";158919.0;"DESCARRILADOS";"SONY PICTURES ENTERTAINMENT IBERIA, S.L.U. (02J1289)";"";"20/08/2021";"Cine - Ficción";"Comedia";"[""Comedia""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Fer García-Ruiz""]";"[""David Marqués""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 200000.0}]";200000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""SUMMER CARAVANING, A.I.E. (01J7526)"", ""porcentaje_empresa"": 100.0}]";"158919"
"Leyes de la frontera, Las";"Warner Bros";"08/10/2021";662962.0;106359;2021;"";"Leyes de la frontera";"Las";143020.0;"LAS LEYES DE LA FRONTERA";"WARNER BROS ENTERTAINMENT ESPAÑA, S.L. (02J728)";"";"06/10/2021";"Cine - Ficción";"Acción";"[""Drama"", ""Thriller"", ""Acción""]";"Acción";"ficha_genero";"España (100.0%)";"[""Daniel Monzón""]";"[""Jorge Guerricaechevarría"", ""Daniel Monzón""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 840000.0}]";840000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LAS LEYES DE LA FRONTERA, A.I.E. (01J7491)"", ""porcentaje_empresa"": 95.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ATRESMEDIA CINE, S.L. (01J2040)"", ""porcentaje_empresa"": 4.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""IKIRU FILMS, S.L. (01J2801)"", ""porcentaje_empresa"": 0.25}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LA TERRAZA FILMS, S.L. (01J6964)"", ""porcentaje_empresa"": 0.25}]";"143020"
"Pan de limón con semillas de amapola";"Filmax";"12/11/2021";592770.0;100238;2021;"";"Pan de limón con semillas de amapola";"";155119.0;"PAN DE LIMÓN CON SEMILLAS DE AMAPOLA";"CASTELAO PICTURES, S.L. (02J943)";"FILMAX (INTERNATIONAL SALES) (98J1061)";"09/11/2021";"Cine - Ficción";"Drama";"[""Melodrama"", ""Drama""]";"Drama";"ficha_genero";"España (77.0%); Luxemburgo (23.0%)";"[""Benito Zambrano""]";"[""Benito Zambrano"", ""Cristina Campos""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 200000.0}]";200000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 77.0, ""empresa"": ""PAN DE LIMON, AIE (01J7539)"", ""porcentaje_empresa"": 98.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 77.0, ""empresa"": ""CASTELAO PICTURES, S.L. (01J4758)"", ""porcentaje_empresa"": 1.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 77.0, ""empresa"": ""CASTELAO PRODUCTIONS, S.A. (01J7147)"", ""porcentaje_empresa"": 1.0}, {""pais"": ""LUXEMBURGO"", ""porcentaje_pais"": 23.0, ""empresa"": ""DEAL PRODUCTIONS"", ""porcentaje_empresa"": null}]";"155119"
"Mediterraneo";"DeAPlaneta";"01/10/2021";476277.0;77382;2021;"";"Mediterraneo";"";60219.0;"MEDITERRÁNEO";"DEA PLANETA, S.L. (02J610)";"FILMAX (INTERNATIONAL SALES) (98J1061)";"24/09/2021";"Cine - Ficción";"Drama";"[""Basado en hechos reales"", ""Drama"", ""Aventuras"", ""ONG"", ""Socorristas""]";"Drama";"ficha_genero";"España (80.0%); Grecia (20.0%)";"[""Marcel Barrena""]";"[""Danielle Schleif""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 200000.0}]";200000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""CADOS PRODUCCIONES, A.I.E. (01J6637)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""LASTOR MEDIA, S.L. (01J3992)"", ""porcentaje_empresa"": 0.34}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""ARCADIA MOTION PICTURES, S.L. (01J2883)"", ""porcentaje_empresa"": 0.33}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""FASTEN SEAT BELT, S.L. (01J3358)"", ""porcentaje_empresa"": 0.33}, {""pais"": ""GRECIA"", ""porcentaje_pais"": 20.0, ""empresa"": ""KARNAVAS KONTOVRAKIS & SUA (HERETIC)"", ""porcentaje_empresa"": null}]";"60219"
"Niñas, Las";"Bteam Pictures";"04/09/2020";380905.0;66339;2021;"";"Niñas";"Las";51917.0;"LAS NIÑAS";"BTEAM PICTURES, S.L. (02J1137)";"FILM FACTORY ENTERTAINMENT, S.L. (02J961)";"01/09/2020";"Cine - Ficción";"Drama";"[""Drama"", ""Adolescencia"", ""1992"", ""Ópera prima""]";"Drama";"ficha_genero";"España (100.0%)";"[""Pilar Palomero""]";"[""Pilar Palomero""]";"[{""concepto"": ""Ayudas Selectivas para la producción de largometrajes sobre proyecto"", ""importe"": 284099.44}]";284099.44;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LAS NIÑAS MAJICAS, AIE (01J7524)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""INICIA FILMS, S.L. (01J3569)"", ""porcentaje_empresa"": 0.7}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""BTEAM PRODS, S.L. (01J6998)"", ""porcentaje_empresa"": 0.3}]";"51917"
"Tengamos la fiesta en Paz";"Infinito mas uno";"03/12/2021";299215.0;49764;2021;"";"Tengamos la fiesta en Paz";"";135821.0;"TENGAMOS LA FIESTA EN PAZ";"TAREAS DE LA CASA 2020, A.I.E. (02J1459)";"";"03/12/2021";"Cine - Ficción";"Comedia musical";"[""Comedia"", ""Musical"", ""Familiar"", ""Navidad""]";"Comedia musical";"ficha_genero";"España (100.0%)";"[""Juan Manuel Cotelo""]";"[""Juan Manuel Cotelo""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""TAREAS DE LA CASA 2020, A.I.E. (01J8221)"", ""porcentaje_empresa"": 100.0}]";"135821"
"España, la primera globalizacion";"Version Digital";"15/10/2021";297321.0;46170;2021;"";"España, la primera globalizacion";"";183321.0;"ESPAÑA, LA PRIMERA GLOBALIZACIÓN";"VERSION DIGITAL, S.L. (02J1240)";"";"15/10/2021";"Cine - Documental";"Documental";"[""Documental"", ""Historia"", ""Memoria histórica"", ""Cultura"", ""Hispanidad""]";"Documental";"ficha_genero";"España (100.0%)";"[""José Luis López-Linares""]";"[""José Luis López-Linares""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LOPEZ-LI FILMS, S.L. (01J2732)"", ""porcentaje_empresa"": 83.87}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""SOCIEDAD MERCANTIL CORPORACIÓN DE RADIO TELEVISIÓN ESPAÑOLA, S.A.U. (98T1117)"", ""porcentaje_empresa"": 16.13}]";"183321"
"Amor en su lugar, El";"A Contracorriente";"03/12/2021";295861.0;45774;2021;"";"Amor en su lugar";"El";128519.0;"LOVE GETS A ROOM";"A CONTRACORRIENTE FILMS, S.L. (02J861)";"";"16/11/2021";"Cine - Ficción";"Drama";"[""Drama"", ""Musical""]";"Drama";"ficha_genero";"España (80.0%); Reino Unido (20.0%)";"[""Rodrigo Cortés""]";"[""Rodrigo Cortés"", ""David Safier""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""LOVE GETS A ROOM, AIE (01J7435)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""NOSTROMO PICTURES, S.L. (01J4776)"", ""porcentaje_empresa"": 1.0}, {""pais"": ""REINO UNIDO"", ""porcentaje_pais"": 20.0, ""empresa"": ""LGAR LTD."", ""porcentaje_empresa"": null}]";"128519"
"Medjugorje, la pelicula";"European Dreams Factory";"01/10/2021";285740.0;44622;2021;"";"Medjugorje, la pelicula";"";155521.0;"MEDJUGORJE, LA PELÍCULA";"DREAMS FACTORY EUROPEAN, S.L. (02J829)";"";"28/09/2021";"Cine - Documental";"Documental";"[""Documental"", ""Religión"", ""Catolicismo"", ""Apariciones marianas""]";"Documental";"ficha_genero";"España (100.0%)";"[""Jesús García"", ""Borja Martínez-Echevarría""]";"[""Jesús García"", ""Borja Martínez-Echevarría""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MEDJU FILMS, A.I.E. (01J8407)"", ""porcentaje_empresa"": 100.0}]";"155521"
"Poliamor para principiantes";"Vertice";"21/05/2021";272517.0;45292;2021;"";"Poliamor para principiantes";"";68920.0;"POLIAMOR PARA PRINCIPIANTES";"VERTICE CINE, S.L. (02J520)";"LATIDO FILMS (98J1003)";"12/05/2021";"Cine - Ficción";"Comedia";"[""Comedia"", ""Relaciones familiares""]";"Comedia";"ficha_genero";"España (90.0%); Francia (10.0%)";"[""Fernando Colomo""]";"[""Fernando Colomo"", ""Casandra Macías"", ""Marina Maesso""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 1142609.2}]";1142609.2;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 90.0, ""empresa"": ""ACUERDOS DE FLUIDOS, A.I.E. (01J7555)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 90.0, ""empresa"": ""MORENA FILMS, S.L. (01J1866)"", ""porcentaje_empresa"": 1.0}, {""pais"": ""FRANCIA"", ""porcentaje_pais"": 10.0, ""empresa"": ""RAN ENTERTAINMENT - FINANCIERA"", ""porcentaje_empresa"": null}]";"68920"
"Cuñados";"Filmax";"09/04/2021";265578.0;47127;2021;"";"Cuñados";"";84419.0;"CUÑADOS";"CASTELAO PICTURES, S.L. (02J943)";"FILMAX (INTERNATIONAL SALES) (98J1061)";"09/04/2021";"Cine - Ficción";"Comedia";"[""Comedia""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Toño López""]";"[""Araceli Gonda"", ""Ana Cermeño""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""PORTOCABO TV, S.L. (01J4653)"", ""porcentaje_empresa"": 81.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""TELEVISION DE GALICIA, S.A. (01J1919)"", ""porcentaje_empresa"": 19.0}]";"84419"
"Chavalas";"Filmax";"03/09/2021";242260.0;41988;2021;"";"Chavalas";"";114618.0;"CHAVALAS";"CASTELAO PICTURES, S.L. (02J943)";"FILMAX (INTERNATIONAL SALES) (98J1061)";"03/09/2021";"Cine - Ficción";"Ficción";"[""Drama"", ""Comedia""]";"Ficción";"ficha_genero";"España (100.0%)";"[""Carolina Rodríguez Colás""]";"[""Marina Rodríguez Colás""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""CHAVALAS LA PELICULA, A.I.E. (01J7131)"", ""porcentaje_empresa"": 100.0}]";"114618"
"Vivo";"Bosco Films";"09/04/2021";240946.0;37591;2021;"";"Vivo";"";3619.0;"VIVO";"BOSCO FILMS, S.L. (02J1285)";"";"24/03/2021";"Cine - Documental";"Documental";"[""Documental"", ""Religión"", ""Iglesia católica"", ""Eucaristía""]";"Documental";"ficha_genero";"España (100.0%)";"[""Jorge Pareja""]";"[""Jaime Pineda Abel De La Cruz""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""HAKUNA FILMS, A.I.E. (01J7267)"", ""porcentaje_empresa"": 99.75}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""HAKUNA 2019 PRODUCCIONES, S.L. (01J8050)"", ""porcentaje_empresa"": 0.25}]";"3619"
"Hija, La";"Caramel Films";"26/11/2021";233277.0;39640;2021;"";"Hija";"La";154919.0;"LA HIJA";"CARAMELFILMS, S.L.U. (02J1098)";"FILM FACTORY ENTERTAINMENT, S.L. (02J961)";"11/11/2021";"Cine - Ficción";"Thriller drama";"[""Drama"", ""Thriller""]";"Thriller drama";"ficha_genero";"España (100.0%)";"[""Manuel Martín Cuenca""]";"[""Manuel Martín Cuenca"", ""Alejandro Hernández""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 700000.0}]";700000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LA HIJA PRODUCCIONES LA PELICULA, A.I.E. (01J7379)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LA LOMA BLANCA PRODUCCIONES CINEMATOGRAFICAS, S.L. (01J2840)"", ""porcentaje_empresa"": 0.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MOD PRODUCCIONES, S.L. (01J3732)"", ""porcentaje_empresa"": 0.5}]";"154919"
"Cuidado con lo que deseas";"A Contracorriente";"12/11/2021";220887.0;38595;2021;"";"Cuidado con lo que deseas";"";141621.0;"CUIDADO CON LO QUE DESEAS";"A CONTRACORRIENTE FILMS, S.L. (02J861)";"LATIDO FILMS (98J1003)";"07/11/2021";"Cine - Ficción";"Comedia";"[""Comedia"", ""Navidad"", ""Familiar"", ""Fantasía""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Fernando Colomo""]";"[""Mireia Llinás""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 993766.3}]";993766.3;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LA NOCHE TRISTE, A.I.E. (01J5983)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MORENA FILMS, S.L. (01J1866)"", ""porcentaje_empresa"": 1.0}]";"141621"
