"titulo";"distribuidora_pdf_heuristica";"fecha_estreno";"recaudacion";"espectadores";"anio";"anio_reposicion";"titulo_busqueda";"articulo";"icaa_id";"titulo_icaa";"distribuidora_nacional_icaa";"distribuidor_internacional_icaa";"fecha_estreno_ficha";"tipo_icaa";"genero_icaa";"tags_icaa";"genero_final";"genero_fuente";"nacionalidad_paises_icaa";"directores_icaa";"guionistas_icaa";"subvenciones_icaa";"subvenciones_total";"empresas_productoras_icaa";"clave_grupo"
"Donde acaba la memoria";"Surtsey Films";"02/12/2022";1040.0;258;2024;"";"Donde acaba la memoria";"";173221.0;"DONDE ACABA LA MEMORIA";"SURTSEY FILMS, S.L. (02J1050)";"";"02/12/2022";"Cine - Documental";"Documental";"";"Documental";"ficha_genero";"España (100.0%)";"[""Pablo Romero-Fresco""]";"[""Pablo Romero-Fresco""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""REBORDELOS, S.L. (01J7015)"", ""porcentaje_empresa"": 80.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""SURTSEY FILMS, S.L. (01J4946)"", ""porcentaje_empresa"": 10.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""FRANCESC XAVIER FONT PIJUAN (01F4424)"", ""porcentaje_empresa"": 10.0}]";"173221"
"Sexo, drogas, rock 'n' roll y política. Instituto Santamarca, 1975-1985";"Independent";"15/02/2024";1029.0;213;2024;"";"Sexo, drogas, rock 'n' roll y política. Instituto Santamarca, 1975-1985";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Sexo, drogas, rock 'n' roll y política. Instituto Santamarca, 1975-1985||15/02/2024"
"Alimañas";"Sony";"27/10/2023";1020.0;324;2024;"";"Alimañas";"";158921.0;"ALIMAÑAS";"SONY PICTURES ENTERTAINMENT IBERIA, S.L.U. (02J1289)";"";"27/10/2023";"Cine - Ficción";"Comedia negra";"[""Comedia negra""]";"Comedia negra";"ficha_genero";"España (100.0%)";"[""Pep Anton Gómez"", ""Jordi Sánchez""]";"[""Pep Anton Gómez"", ""Jordi Sánchez""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 681111.29}]";681111.29;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ALIMAÑAS, A.I.E. (01J8570)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""FEELGOOD MEDIA, S.L. (01J6313)"", ""porcentaje_empresa"": 0.54}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""KOWALSKI FILMS, S.L. (01J3812)"", ""porcentaje_empresa"": 0.26}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""GOBLIN AUDIOVISUAL, S.L. (01J8283)"", ""porcentaje_empresa"": 0.2}]";"158921"
"Binu, historia de dos estrellas";"Independent";"07/05/2024";980.0;153;2024;"";"Binu, historia de dos estrellas";"";210624.0;"BINU: HISTÒRIA DE DUES ESTRELLES";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"08/11/2024";"Cine - Ficción";"Drama";"";"Drama";"ficha_genero";"España (100.0%)";"[""Guillem Cabra Cortés"", ""Mar Clapés Gutiérrez""]";"[""Guillem Cabra Cortés"", ""Mar Clapés Gutiérrez""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LA MANCHESTER RADIOFÓNICA, S.L.U. (01J8539)"", ""porcentaje_empresa"": 100.0}]";"210624"
"Aire";"Independent";"10/05/2024";973.0;137;2024;"";"Aire";"";222023.0;"AIRE";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"10/05/2024";"Cine - Documental";"Documental";"[""Documental"", ""Deportes""]";"Documental";"ficha_genero";"España (100.0%)";"[""Ricardo Íscar""]";"[""Ricardo Íscar""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""EL REFUGIO PRODUCCIONES, S.L. (01J6628)"", ""porcentaje_empresa"": 100.0}]";"222023"
"Constructores de la Alhambra, Los";"Version Digital";"25/11/2022";951.0;168;2024;"";"Constructores de la Alhambra";"Los";119918.0;"LOS CONSTRUCTORES DE LA ALHAMBRA";"VERSION DIGITAL, S.L. (02J1240)";"";"24/11/2022";"Cine - Documental";"Documental";"[""Documental"", ""Drama"", ""Arte"", ""Historia"", ""Biografía""]";"Documental";"ficha_genero";"España (100.0%)";"[""Isabel Fernández""]";"[""Isabel Fernández"", ""Anna Sanz- Magallón"", ""Montse Ganges""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""EL DE LAS DOS VIDAS, A.I.E. (01J7116)"", ""porcentaje_empresa"": 98.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""AL PATI PRODUCCIONS, S.L.U. (01J5824)"", ""porcentaje_empresa"": 1.4}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""POLAR STAR FILMS, S.L. (01J2658)"", ""porcentaje_empresa"": 0.6}]";"119918"
"Veronica";"Sony";"25/08/2017";946.0;158;2024;"";"Veronica";"";119216.0;"VERÓNICA";"SONY PICTURES RELEASING DE ESPAÑA, S.A. (02J471)";"FILM FACTORY ENTERTAINMENT, S.L. (02J961)";"25/08/2017";"Cine - Ficción";"Terror";"[""Terror"", ""Drama""]";"Terror";"ficha_genero";"España (100.0%)";"[""Paco Plaza""]";"[""Paco Plaza"", ""Fernando Navarro Rosillo""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 980000.0}]";980000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""EXPEDIENTE LA PELICULA, A.I.E (01J6227)"", ""porcentaje_empresa"": 98.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""APACHE FILMS,S.L. (01J2597)"", ""porcentaje_empresa"": 2.0}]";"119216"
"Oblideu Tosquelles!";"Independent";"22/12/2023";944.0;147;2024;"";"Oblideu Tosquelles!";"";234523.0;"OBLIDEU TOSQUELLES!";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"17/10/2024";"Cine - Documental";"Documental";"[""Documental""]";"Documental";"ficha_genero";"España (100.0%)";"[""Enric Miró""]";"[""Enric Miró""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ASTRAKAN FILMS, S.L. (01J4053)"", ""porcentaje_empresa"": 100.0}]";"234523"
"Estigma del silencio, El";"Independent";"10/12/2024";942.0;159;2024;"";"Estigma del silencio";"El";190824.0;"EL ESTIGMA DEL SILENCIO";"39 ESCALONES FILMS, S.L. (02J1049)";"";"10/12/2024";"Cine - Documental";"Documental social";"[""Documental"", ""Social"", ""Suicidio"", ""Salud mental"", ""Relaciones familiares""]";"Documental social";"ficha_genero";"España (100.0%)";"[""Sergio Hernández""]";"[""Sergio Hernández""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""SERGIO HERNANDEZ SANZ (01F3806)"", ""porcentaje_empresa"": 50.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ARTISTIC METROPOL, S.C.P. (01J5645)"", ""porcentaje_empresa"": 20.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""39 ESCALONES FILMS PRODUCCIONES, S.L. (01J7647)"", ""porcentaje_empresa"": 20.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""FONOFOX SERVICIOS AUDIOVISUALES, S.L. (01J5181)"", ""porcentaje_empresa"": 10.0}]";"190824"
"ADN de la memoria, El";"Independent";"18/12/2023";933.0;183;2024;"";"ADN de la memoria";"El";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ADN de la memoria, El||18/12/2023"
"Arnasa betean. A pulmón";"Independent";"09/11/2023";926.0;147;2024;"";"Arnasa betean. A pulmón";"";175923.0;"A PULMÓN, MUJERES CINEASTAS";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"26/03/2024";"Cine - Documental";"Documental";"[""Documental"", ""Sobre cine"", ""Cine vasco"", ""Mujeres""]";"Documental";"ficha_genero";"España (100.0%)";"[""Bertha Gaztelumendi"", ""Rosa Zufía""]";"[""Bertha Gaztelumendi"", ""Rosa Zufía""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LA TENTACION PRODUCCIONES, S.A. (01J2285)"", ""porcentaje_empresa"": 100.0}]";"175923"
"Agora (2009) (re)";"Independent";"08/03/2024";925.0;185;2024;2009.0;"Agora";"";18908.0;"ÁGORA";"HISPANO FOXFILM, S.A.E. (02J25)";"";"07/10/2009";"Cine - Ficción";"Drama";"";"Drama";"ficha_genero";"España (100.0%)";"[""Amenábar, Alejandro""]";"[""Alejandro Amenábar"", ""Mateo Gil""]";"[{""concepto"": ""Ayudas a la Amortización de Largometrajes - General"", ""importe"": 96000.0}]";96000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""TELECINCO CINEMA, S.A.U. (01J2383)"", ""porcentaje_empresa"": 88.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""HIMENOPTERO, S.L. (01J2585)"", ""porcentaje_empresa"": 2.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MOD PRODUCCIONES, S.L. (01J3732)"", ""porcentaje_empresa"": 10.0}]";"18908"
"Ulu, un latido universal";"Independent";"29/09/2017";855.0;95;2024;"";"Ulu, un latido universal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ulu, un latido universal||29/09/2017"
