"director_id";"person_id_tmdb";"nombre";"sexo";"fuente_sexo";"pais";"fuente_pais";"nombre_credito_original"
488;1061514;"Álex O'Dogherty";"hombre";"tmdb";"ES";"tmdb_heuristico";""
489;3168014;"Iván Karras";"";"";"";"";""
490;2022341;"Carolina África";"";"";"";"";""
491;1072835;"Pilar Ordóñez";"mujer";"tmdb";"";"";""
492;6149474;"David Ruiz";"";"";"";"";""
493;4308395;"Pitu González";"";"";"";"";""
494;6162301;"Carlos Giménez";"";"";"";"";""
495;3644479;"Nina Solà";"mujer";"tmdb";"";"";""
496;2152935;"Guillermo de Oliveira";"hombre";"tmdb";"ES";"tmdb_heuristico";""
497;5466763;"Francisco Sánchez";"";"";"";"";""
498;6332299;"Iñaki Peña";"";"";"";"";""
499;1223421;"Cristina Otero Roth";"mujer";"tmdb";"ES";"tmdb_heuristico";""
500;6371154;"Percy Monso";"";"";"";"";""
501;3669393;"Manuel Nector Yáñez";"";"";"";"";""
502;2114770;"Charlie Arnaiz";"hombre";"tmdb";"ES";"wikidata";""
503;2407283;"Alberto Ortega";"hombre";"tmdb";"";"";""
504;6363870;"Ángel González";"";"";"";"";""
505;2108770;"Javi Camino";"";"";"";"";""
506;4026096;"Tommy Llorens";"";"";"";"";""
507;1797508;"Pablo Romero-Fresco";"";"";"";"";""
508;1672993;"Julio Mazarico";"";"";"";"";""
509;5345510;"Narciso Ibáñez Serrador";"";"";"";"";""
510;81157;"Sebastián Borensztein";"hombre";"tmdb";"AR";"tmdb_heuristico";""
511;4764008;"Martín Soto";"";"";"";"";""
512;3489419;"Xuban Intxausti";"";"";"";"";""
513;1658534;"Nicole Betancourt";"";"";"";"";""
514;588887;"Edoardo Ponti";"hombre";"tmdb";"CH";"tmdb_heuristico";""
515;5626806;"Javier Aguirre";"";"";"";"";""
516;1580840;"Julio Soto Gurpide";"hombre";"tmdb";"";"";""
517;5938497;"David Andrade";"";"";"";"";""
518;1796079;"Alberto Utrera";"";"";"";"";""
519;4833291;"Javier Martín-Domínguez";"";"";"";"";""
520;1468122;"Antonio Aguilar Vicente";"";"";"";"";""
521;5061066;"Carlos Aceituno";"";"";"";"";""
522;1364092;"Marc Fàbregas";"hombre";"wikidata";"";"";""
523;1168568;"Bertha Gaztelumendi";"";"";"";"";""
524;4250005;"Rosa Zufía";"";"";"";"";""
525;5116594;"Rogelio Enríquez Soto";"";"";"";"";""
526;1061599;"Fermin Muguruza";"hombre";"tmdb";"ES";"tmdb_heuristico";""
527;103511;"José Luis Garci";"hombre";"tmdb";"ES";"tmdb_heuristico";""
528;1013886;"Rafa Cortés";"hombre";"tmdb";"ES";"wikidata";""
529;5470289;"Javier Salvador";"";"";"";"";""
530;123099;"José María Forqué";"hombre";"tmdb";"ES";"tmdb_heuristico";""
531;2558738;"Jaime Murciego";"";"";"";"";""
532;1119623;"Pablo Iraburu";"hombre";"tmdb";"";"";""
533;564282;"Manuel Ríos San Martín";"hombre";"wikidata";"ES";"wikidata";""
534;4865414;"Julio S. de la Fuente";"hombre";"manual";"ES";"manual";""
535;2873841;"Bruno Martín";"";"";"";"";""
536;1334436;"Miguel Ángel Tobías";"hombre";"wikidata";"ES";"wikidata";""
537;2880;"Emilio Estevez";"hombre";"tmdb";"US";"tmdb_heuristico";""
538;2881144;"Mohamed El Badaoui";"";"";"";"";""
539;1566441;"Bernardo Hernández";"";"";"";"";""
540;1093748;"David Victori";"hombre";"tmdb";"ES";"tmdb_heuristico";""
541;88084;"Luis Prieto";"hombre";"tmdb";"ES";"tmdb_heuristico";""
542;3952402;"Mario Hernández";"";"";"";"";""
543;1028828;"Raimundo García";"";"";"";"";""
544;1489421;"Ignacio Tatay";"hombre";"wikidata";"ES";"wikidata";""
545;1175887;"Belén Santos";"";"";"";"";""
546;1066407;"Esaú Dharma";"";"";"";"";""
547;1170972;"Pablo Vara";"";"";"";"";""
548;1276684;"Horacio Alcalá";"hombre";"wikidata";"ES";"wikidata";""
549;44224;"Leonardo Brzezicki";"hombre";"tmdb";"AR";"tmdb_heuristico";""
550;3936156;"Esther Yañez";"";"";"";"";""
551;225945;"Javier Elorrieta";"hombre";"wikidata";"ES";"wikidata";""
552;230209;"Ángeles González-Sinde";"mujer";"tmdb";"ES";"tmdb_heuristico";""
553;78326;"Luis Arrieta";"hombre";"tmdb";"MX";"tmdb_heuristico";""
554;2876642;"Paco Sepúlveda";"hombre";"wikidata";"ES";"wikidata";""
555;1640298;"Luis Roca";"";"";"";"";""
556;583118;"Montxo Armendáriz";"hombre";"tmdb";"ES";"tmdb_heuristico";""
557;1264790;"David Martín Porras";"hombre";"wikidata";"ES";"wikidata";""
558;4206690;"Tabatta Salinas Caballero";"mujer";"manual";"MX";"manual";""
559;2662941;"Andrea Gautier";"mujer";"manual";"AR";"manual";""
560;2661441;"Pepe Coira";"hombre";"tmdb";"ES";"tmdb_heuristico";""
561;5046087;"Gaspar Broullón Pastoriza";"";"";"";"";""
562;4936570;"Felipe Pinzón Barbosa";"";"";"";"";""
563;2453874;"Juan Antonio Rodríguez Llano";"";"";"";"";""
564;1395170;"Fernanda Valadez";"mujer";"tmdb";"MX";"tmdb_heuristico";""
565;2503583;"David Casals-Roma";"";"";"";"";""
566;2270970;"Marta Romero";"";"";"";"";""
567;1088457;"Albert Solé";"hombre";"tmdb";"ES";"wikidata";""
568;2579211;"Elena Molina";"mujer";"tmdb";"ES";"wikidata";""
569;1525399;"Ida Cuéllar";"hombre";"manual";"BO";"manual";""
570;2697139;"Natxo Leuza";"";"";"";"";""
