titulo_original;fecha_estreno_original;titulo_busqueda_usado;icaa_id;estado;titulo_encontrado;anio_encontrado;fecha_estreno_ficha;director_encontrado;num_candidatos;candidatos_json;busqueda_truncada
Anaga, Naturaleza Infinita;13/12/2024;Anaga, Naturaleza Infinita;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Naturaleza de lo extraordinario;12/05/2023;Naturaleza de lo extraordinario;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Traje, El. Algo mas que una leyenda;20/11/2021;Traje, El. Algo mas que una leyenda;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Segundos fuera;02/12/2021;Segundos fuera;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Dernier round;09/12/2021;Dernier round;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Cant dels ocells, El Sagrera;19/12/2008;Cant dels ocells, El Sagrera;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Walter Benjamin, el aura del camino;23/10/2025;Walter Benjamin, el aura del camino;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Frederica Montseny, la mujer que habla;07/10/2021;Frederica Montseny, la mujer que habla;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Nanas de la cebolla (Tipularen sehaska kanta);03/03/2022;Nanas de la cebolla (Tipularen sehaska kanta);;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Protagonistes;03/11/2024;Protagonistes;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Cataluña ambigua;27/02/2025;Cataluña ambigua;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Mi profesor;27/06/2021;Mi profesor;;sin_coincidencia_exacta_titulo;;;;;8.0;"[{""icaa_id"": 778230, ""titulo_encontrado"": ""Amor solfeando, El"", ""director_encontrado"": ""ARMAND. GUERRA"", ""anio_encontrado"": 1930, ""metraje_encontrado"": ""LARGOMETRAJE-""}, {""icaa_id"": 597530, ""titulo_encontrado"": ""MI HIJO, PROFESOR"", ""director_encontrado"": ""RENATO CASTELLANI"", ""anio_encontrado"": 1946, ""metraje_encontrado"": ""LARGOMETRAJE-""}, {""icaa_id"": 32150, ""titulo_encontrado"": ""Mi profesora particular"", ""director_encontrado"": ""JAIME. CAMINO"", ""anio_encontrado"": 1973, ""metraje_encontrado"": ""LARGOMETRAJE-""}, {""icaa_id"": 1748840, ""titulo_encontrado"": ""MI PROFESORA PARTICULAR"", ""director_encontrado"": ""DESCONOCIDO"", ""anio_encontrado"": null, ""metraje_encontrado"": ""CORTOMETRAJE- Video Ficción""}, {""icaa_id"": 5273240, ""titulo_encontrado"": ""MI QUERIDO PROFESOR"", ""director_encontrado"": ""DETIBERIS MARINA"", ""anio_encontrado"": null, ""metraje_encontrado"": ""LARGOMETRAJE- Video Ficción""}, {""icaa_id"": 642651, ""titulo_encontrado"": ""PROFESOR A MI MEDIDA"", ""director_encontrado"": ""ANDREW BERGMAN"", ""anio_encontrado"": 1981, ""metraje_encontrado"": ""LARGOMETRAJE-""}, {""icaa_id"": 1713440, ""titulo_encontrado"": ""PROFESOR A MI MEDIDA"", ""director_encontrado"": ""DESCONOCIDO"", ""anio_encontrado"": null, ""metraje_encontrado"": ""CORTOMETRAJE- Video Ficción""}, {""icaa_id"": 2001640, ""titulo_encontrado"": ""PROFESOR A MI MEDIDA"", ""director_encontrado"": ""DESCONOCIDO"", ""anio_encontrado"": null, ""metraje_encontrado"": ""CORTOMETRAJE- Video Ficción""}]";False
Castillo de Argueso;18/01/2025;Castillo de Argueso;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Coda 77;21/10/2021;Coda 77;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Gran familia, La;23/12/2025;Gran familia;;sin_candidatos_cercanos_probable_reposicion;;;;;6.0;"[{""icaa_id"": 71612, ""titulo_encontrado"": ""GRAN FAMILIA ESPAÑOLA, LA"", ""director_encontrado"": ""DANIEL SÁNCHEZ ARÉVALO"", ""anio_encontrado"": 2013, ""metraje_encontrado"": ""LARGOMETRAJE-""}, {""icaa_id"": 196850, ""titulo_encontrado"": ""Gran familia, La"", ""director_encontrado"": ""FERNANDO PALACIOS"", ""anio_encontrado"": 1962, ""metraje_encontrado"": ""LARGOMETRAJE-""}, {""icaa_id"": 1268040, ""titulo_encontrado"": ""GRAN FAMILIA, LA"", ""director_encontrado"": ""DESCONOCIDO"", ""anio_encontrado"": null, ""metraje_encontrado"": ""CORTOMETRAJE- Video Ficción""}, {""icaa_id"": 116616, ""titulo_encontrado"": ""GRANDES FAMILIAS"", ""director_encontrado"": ""MATHIEU AMALRIC"", ""anio_encontrado"": 2015, ""metraje_encontrado"": ""LARGOMETRAJE- Cine Ficción""}, {""icaa_id"": 170421, ""titulo_encontrado"": ""LA FAMILIA ADDAMS 2 - LA GRAN ESCAPADA"", ""director_encontrado"": ""GREG TIERNAN"", ""anio_encontrado"": 2021, ""metraje_encontrado"": ""LARGOMETRAJE- Cine Animación""}, {""icaa_id"": 12111340, ""titulo_encontrado"": ""SUPERNENAS Z, LAS: UNA GRAN FAMILIA PARTE 1 Y 2"", ""director_encontrado"": ""MEGUMU ISHIGURO"", ""anio_encontrado"": 2006, ""metraje_encontrado"": ""CORTOMETRAJE- Video Ficción""}]";False
Camino de Cova Eiros, O;30/10/2025;Camino de Cova Eiros, O;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
¡Maldicion! He vuelto a cambiar;30/06/2021;¡Maldicion! He vuelto a cambiar;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
Zalamero;22/10/2020;Zalamero;;sin_coincidencia_exacta_titulo;;;;;0.0;[];False
