"taquilla_id";"pelicula_id";"anio";"recaudacion";"espectadores"
1;1;2025;42.0;12
2;2;2022;83.0;18
3;3;2021;129.0;35
4;4;2021;237.0;60
5;5;2022;1975.0;319
6;5;2023;321.0;38
7;6;2024;9.0;2
8;7;2025;2149.0;364
9;8;2025;552.0;100
10;9;2025;28408.0;4513
11;10;2024;1700.0;266
12;11;2022;50.0;7
13;12;2025;4413.0;677
14;13;2024;262.0;75
15;14;2023;2792.0;422
16;15;2024;14596.0;2634
17;15;2025;10.0;2
18;16;2021;1914.0;390
19;16;2022;324.0;130
20;16;2023;520.0;130
21;16;2024;484.0;121
22;17;2023;371.0;75
23;18;2023;2017.0;504
24;19;2025;502.0;207
25;20;2022;180557.0;27699
26;21;2022;1222.0;181
27;22;2022;7771.0;1424
28;23;2023;494.0;123
29;23;2024;40.0;8
30;24;2023;82.0;14
31;25;2025;198.0;43
32;26;2025;120.0;30
33;27;2024;492.0;118
34;27;2025;3774.0;591
35;28;2025;27668.0;4685
36;29;2022;14.0;24
37;30;2025;6450.0;1195
38;31;2021;129.0;33
39;31;2023;446.0;216
40;32;2022;3686.0;687
41;33;2021;19427.0;3256
42;33;2022;2414.0;589
43;34;2022;186403.0;31584
44;34;2023;30722.0;6963
45;34;2024;45.0;14
46;35;2024;1742.0;294
47;35;2025;286.0;88
48;36;2022;673.0;100
49;36;2025;53.0;19
50;37;2022;574.0;109
51;38;2022;263.0;49
52;39;2024;115336.0;20378
53;39;2025;209.0;102
54;40;2021;1414.0;276
55;41;2022;11143.0;1824
56;41;2023;3779.0;543
57;41;2025;626.0;108
58;42;2024;49010.0;8469
59;42;2025;2828.0;729
60;43;2023;224861.0;40173
61;43;2024;2740.0;693
62;43;2025;120.0;30
63;44;2025;7536.0;1189
64;45;2025;40744.0;6816
65;46;2025;729774.0;122365
66;47;2021;198.0;33
67;47;2022;1073.0;198
68;48;2023;1361.0;310
69;48;2024;352.0;90
70;49;2025;421795.0;64385
71;50;2024;29573.0;5346
72;51;2022;3256.0;777
73;52;2023;33651.0;5799
74;52;2025;184.0;49
75;53;2024;340.0;78
76;54;2024;1246.0;136
77;55;2022;19317.0;3177
78;55;2023;7595.0;1527
79;55;2024;361.0;77
80;56;2025;11356.0;1965
81;57;2022;210.0;105
82;57;2023;404.0;84
83;58;2024;457.0;81
84;59;2025;6688.0;1221
85;60;2023;338267.0;57487
86;60;2024;3840.0;839
87;61;2023;7755.0;1242
88;61;2024;3278.0;588
89;62;2021;1488.0;304
90;62;2022;145.0;60
91;63;2025;47884.0;8427
92;64;2024;1617.0;221
93;64;2025;214.0;36
94;65;2025;1566.0;266
95;66;2025;232860.0;33088
96;67;2021;13077.0;2198
97;67;2022;98.0;14
98;68;2021;3504.0;726
99;69;2023;4856.0;1014
100;70;2021;78.0;33
101;71;2021;97714.0;14683
102;71;2022;70015.0;11095
103;71;2023;77.0;21
104;71;2024;484.0;121
105;72;2023;203950.0;34865
106;72;2024;20712.0;3608
107;72;2025;10.0;2
108;73;2022;890.0;178
109;74;2021;42095.0;6280
110;74;2022;45.0;11
111;75;2023;157.0;32
112;76;2024;121.0;24
113;76;2025;6384.0;1009
114;77;2025;752.0;105
115;78;2022;1928.0;308
116;78;2023;283.0;88
117;79;2023;2560.0;445
118;79;2024;464.0;86
119;80;2025;27358.0;4569
120;81;2021;186.0;77
121;82;2024;18337.0;3054
122;83;2022;1810.0;355
123;84;2024;6238.0;1124
124;84;2025;491.0;116
125;85;2022;11110.0;2327
126;86;2024;44150.0;8792
127;86;2025;9242.0;2116
128;87;2021;14.0;2
129;88;2024;523487.0;85270
130;88;2025;112.0;32
131;89;2021;320.0;66
132;89;2022;1101.0;160
133;90;2023;905772.0;158206
134;90;2024;124267.0;22075
135;90;2025;809.0;203
136;91;2021;345.0;63
137;91;2025;189.0;27
138;92;2024;18597.0;3001
139;93;2023;2449.0;463
140;94;2024;5310.0;751
141;95;2021;177.0;35
142;95;2024;243.0;79
143;96;2024;2113.0;322
144;97;2025;43309.0;7193
145;98;2021;636.0;150
146;99;2023;122311.0;19598
147;99;2024;121.0;28
148;100;2023;3442.0;604
149;101;2021;106.0;41
150;102;2025;191.0;49
151;103;2025;133129.0;19558
152;104;2024;15.0;3
153;105;2021;190.0;33
154;105;2022;103.0;27
155;106;2025;4857.0;736
156;107;2022;81.0;15
157;108;2023;639.0;133
158;109;2022;10.0;3
159;110;2021;42.0;12
160;111;2024;3068687.0;456805
161;111;2025;23622.0;4348
162;112;2025;9790.0;1406
163;113;2024;1181.0;235
164;113;2025;13.0;3
165;114;2024;35.0;6
166;115;2023;1864.0;365
167;115;2025;81.0;23
168;116;2021;1636.0;296
169;117;2022;1279.0;164
170;117;2023;59.0;17
171;118;2023;207331.0;33735
172;118;2024;1789.0;533
173;119;2024;53777.0;10012
174;120;2022;7777.0;1393
175;120;2023;47.0;11
176;121;2024;21369.0;3838
177;122;2021;1633.0;273
178;123;2023;1845.0;274
179;124;2024;10082.0;1813
180;124;2025;1134.0;184
181;125;2022;143.0;41
182;126;2024;119214.0;20359
183;126;2025;2262.0;611
184;127;2021;66584.0;12128
185;127;2022;98.0;16
186;127;2023;164.0;82
187;128;2023;284.0;52
188;129;2022;24781.0;4094
189;129;2023;2567.0;497
190;129;2025;169.0;49
191;130;2021;821.0;135
192;131;2023;148.0;24
193;132;2021;242260.0;41988
194;132;2022;2318.0;570
195;132;2023;113.0;28
196;133;2021;4562.0;835
197;134;2024;3300.0;529
198;134;2025;291.0;92
199;135;2024;373.0;116
200;136;2023;609.0;101
201;137;2023;572633.0;87063
202;137;2024;183.0;66
203;138;2024;502.0;82
204;139;2025;722.0;186
205;140;2021;3900.0;569
206;141;2025;9959.0;1758
207;142;2025;68716.0;11216
208;143;2023;18675.0;2945
209;144;2024;354.0;61
210;145;2025;946.0;137
211;146;2021;630.0;126
212;147;2025;2145.0;325
213;148;2023;824.0;165
214;149;2024;3745.0;633
215;149;2025;316.0;80
216;150;2025;18405.0;4437
217;151;2023;3349.0;584
218;152;2022;5132.0;847
219;153;2025;199.0;34
220;154;2024;273.0;65
221;155;2023;3688.0;634
222;155;2024;1152.0;317
223;156;2024;946.0;158
224;157;2023;271.0;127
225;158;2023;6511.0;1264
226;159;2022;3586.0;619
227;160;2024;159.0;64
228;161;2023;2437.0;414
229;162;2024;271489.0;41059
230;163;2021;878.0;209
231;164;2022;68752.0;11612
232;164;2023;6877.0;1102
233;164;2024;951.0;168
234;164;2025;67.0;9
235;165;2021;78.0;39
236;166;2021;4434.0;779
237;166;2022;131.0;19
238;167;2024;79896.0;13241
239;168;2024;10521.0;2077
240;169;2022;448.0;112
241;170;2021;62.0;16
242;170;2024;264.0;43
243;171;2021;4665.0;863
244;171;2022;77.0;43
245;171;2023;272.0;69
246;171;2025;1276.0;232
247;172;2024;763.0;214
248;173;2023;7409.0;1350
249;173;2024;2781.0;518
250;174;2025;90364.0;15302
251;175;2025;240044.0;39376
252;176;2021;4917.0;1144
253;176;2022;91.0;43
254;176;2023;78.0;39
255;176;2025;557.0;100
256;177;2022;2497.0;474
257;177;2024;1308046.0;219980
258;178;2023;206.0;36
259;179;2022;1205.0;347
260;179;2023;1082.0;287
261;180;2025;20765.0;3508
262;181;2022;84312.0;14347
263;182;2022;716.0;128
264;183;2025;113470.0;18945
265;184;2021;554.0;116
266;185;2023;6122.0;1130
267;185;2024;100.0;25
268;186;2021;149.0;22
269;187;2022;5561.0;949
270;187;2023;126.0;65
271;188;2021;30233.0;5368
272;189;2022;4459.0;872
273;190;2022;427.0;57
274;191;2024;2546827.0;387581
275;192;2023;51.0;9
276;192;2024;381.0;81
277;193;2023;219.0;49
278;193;2025;420.0;60
279;194;2021;280.0;81
280;195;2024;112.0;32
281;196;2022;2784.0;518
282;196;2023;488.0;92
283;196;2024;17.0;3
284;197;2024;622.0;94
285;198;2021;36213.0;6545
286;198;2025;890.0;180
287;199;2025;70863.0;11766
288;200;2023;113600.0;19115
289;200;2024;1865.0;471
290;201;2021;16.0;3
291;202;2021;2155.0;311
292;203;2023;447834.0;83182
293;203;2024;15498.0;3556
294;203;2025;692.0;132
295;204;2025;175.0;38
296;205;2024;58.0;11
297;206;2021;6449.0;1223
298;206;2022;280.0;52
299;206;2024;83.0;40
300;207;2024;54.0;9
301;208;2025;2191.0;322
302;209;2024;4471.0;631
303;210;2025;28412.0;4485
304;211;2021;414.0;64
305;212;2021;24989.0;4484
