"icaa_id";"tmdb_id";"gui_id";"fuente_credito";"metodo_match_persona"
106422.0;"";"gui_0090";"icaa";"busqueda_nombre_exacta"
106513.0;"";"gui_0091";"icaa";"busqueda_nombre_exacta"
106513.0;"";"gui_0092";"icaa";"busqueda_nombre_exacta"
106518.0;"";"gui_0093";"icaa";"busqueda_nombre_exacta"
106518.0;"";"gui_0094";"icaa";"busqueda_nombre_exacta"
106518.0;"";"gui_0095";"icaa";"busqueda_nombre_exacta"
106521.0;"";"gui_0096";"icaa";"busqueda_nombre_exacta"
106521.0;"";"gui_0097";"icaa";"busqueda_nombre_exacta"
106910.0;"";"gui_0098";"icaa";"busqueda_nombre_exacta"
106918.0;"";"gui_0099";"icaa";"busqueda_nombre_exacta"
10717.0;"";"gui_0100";"icaa";"busqueda_nombre_exacta"
107222.0;"";"gui_0101";"icaa";"busqueda_nombre_exacta"
107222.0;"";"gui_0102";"icaa";"busqueda_nombre_exacta"
107522.0;"";"gui_0103";"icaa";"busqueda_nombre_exacta"
107621.0;"";"gui_0104";"icaa";"busqueda_nombre_exacta"
107918.0;"";"gui_0105";"icaa";"busqueda_nombre_exacta"
108022.0;"";"gui_0106";"icaa";"busqueda_nombre_exacta"
108022.0;"";"gui_0107";"icaa";"busqueda_nombre_exacta"
108022.0;"";"gui_0108";"icaa";"busqueda_nombre_exacta"
108119.0;"";"gui_0109";"icaa";"busqueda_nombre_exacta"
108221.0;"";"gui_0110";"icaa";"busqueda_nombre_exacta"
108221.0;"";"gui_0111";"icaa";"busqueda_nombre_exacta"
108421.0;"";"gui_0112";"icaa";"busqueda_nombre_exacta"
108421.0;"";"gui_0113";"icaa";"busqueda_nombre_aproximada"
108422.0;"";"gui_0114";"icaa";"busqueda_nombre_exacta"
108422.0;"";"gui_0115";"icaa";"busqueda_nombre_exacta"
108518.0;"";"gui_0116";"icaa";"busqueda_nombre_exacta"
108522.0;"";"gui_0117";"icaa";"busqueda_nombre_exacta"
108522.0;"";"gui_0118";"icaa";"busqueda_nombre_exacta"
10921.0;"";"gui_0119";"icaa";"busqueda_nombre_exacta"
10921.0;"";"gui_0120";"icaa";"busqueda_nombre_exacta"
109221.0;"";"gui_0121";"icaa";"busqueda_nombre_exacta"
109321.0;"";"gui_0122";"icaa";"busqueda_nombre_exacta"
109321.0;"";"gui_0123";"icaa";"busqueda_nombre_exacta"
109723.0;"";"gui_0124";"icaa";"busqueda_nombre_exacta"
109822.0;"";"gui_0125";"icaa";"busqueda_nombre_exacta"
109905.0;"";"gui_0126";"icaa";"busqueda_nombre_exacta"
110018.0;"";"gui_0065";"icaa";"busqueda_nombre_exacta"
110021.0;"";"gui_0127";"icaa";"busqueda_nombre_exacta"
110021.0;"";"gui_0128";"icaa";"busqueda_nombre_exacta"
110120.0;"";"gui_0129";"icaa";"busqueda_nombre_exacta"
110120.0;"";"gui_0130";"icaa";"busqueda_nombre_exacta"
110321.0;"";"gui_0131";"icaa";"busqueda_nombre_exacta"
110321.0;"";"gui_0132";"icaa";"busqueda_nombre_exacta"
110803.0;"";"gui_0133";"icaa";"busqueda_nombre_aproximada"
111022.0;"";"gui_0134";"icaa";"busqueda_nombre_aproximada"
111022.0;"";"gui_0135";"icaa";"busqueda_nombre_exacta"
111022.0;"";"gui_0136";"icaa";"busqueda_nombre_exacta"
11121.0;"";"gui_0137";"icaa";"busqueda_nombre_exacta"
11122.0;"";"gui_0138";"icaa";"busqueda_nombre_aproximada"
11122.0;"";"gui_0139";"icaa";"busqueda_nombre_exacta"
111321.0;"";"gui_0140";"icaa";"busqueda_nombre_exacta"
111321.0;"";"gui_0141";"icaa";"busqueda_nombre_aproximada"
111321.0;"";"gui_0142";"icaa";"busqueda_nombre_exacta"
111415.0;"";"gui_0143";"icaa";"busqueda_nombre_aproximada"
111905.0;"";"gui_0144";"icaa";"busqueda_nombre_exacta"
111921.0;"";"gui_0145";"icaa";"busqueda_nombre_exacta"
112122.0;"";"gui_0146";"icaa";"busqueda_nombre_exacta"
112421.0;"";"gui_0147";"icaa";"busqueda_nombre_exacta"
112521.0;"";"gui_0148";"icaa";"busqueda_nombre_aproximada"
112521.0;"";"gui_0149";"icaa";"busqueda_nombre_exacta"
112918.0;"";"gui_0150";"icaa";"busqueda_nombre_exacta"
113018.0;"";"gui_0151";"icaa";"busqueda_nombre_exacta"
113023.0;"";"gui_0152";"icaa";"busqueda_nombre_exacta"
113023.0;"";"gui_0153";"icaa";"busqueda_nombre_exacta"
113118.0;"";"gui_0154";"icaa";"busqueda_nombre_exacta"
113221.0;"";"gui_0155";"icaa";"busqueda_nombre_exacta"
113518.0;"";"gui_0156";"icaa";"busqueda_nombre_exacta"
113518.0;"";"gui_0157";"icaa";"busqueda_nombre_exacta"
113518.0;"";"gui_0158";"icaa";"busqueda_nombre_exacta"
113518.0;"";"gui_0159";"icaa";"busqueda_nombre_exacta"
113619.0;"";"gui_0160";"icaa";"busqueda_nombre_aproximada"
113619.0;"";"gui_0161";"icaa";"busqueda_nombre_exacta"
113721.0;"";"gui_0162";"icaa";"busqueda_nombre_exacta"
11391.0;"";"gui_0005";"icaa";"busqueda_nombre_exacta"
11391.0;"";"gui_0163";"icaa";"busqueda_nombre_aproximada"
11391.0;"";"gui_0164";"icaa";"busqueda_nombre_exacta"
11391.0;"";"gui_0165";"icaa";"busqueda_nombre_exacta"
113921.0;"";"gui_0166";"icaa";"busqueda_nombre_exacta"
114020.0;"";"gui_0167";"icaa";"busqueda_nombre_exacta"
11422.0;"";"gui_0168";"icaa";"busqueda_nombre_exacta"
11422.0;"";"gui_0169";"icaa";"busqueda_nombre_exacta"
114421.0;"";"gui_0170";"icaa";"busqueda_nombre_exacta"
114518.0;"";"gui_0171";"icaa";"busqueda_nombre_exacta"
114518.0;"";"gui_0172";"icaa";"busqueda_nombre_exacta"
114618.0;"";"gui_0173";"icaa";"busqueda_nombre_exacta"
114718.0;"";"gui_0174";"icaa";"busqueda_nombre_exacta"
114821.0;"";"gui_0175";"icaa";"busqueda_nombre_exacta"
114921.0;"";"gui_0076";"icaa";"busqueda_nombre_exacta"
114921.0;"";"gui_0023";"icaa";"busqueda_nombre_exacta"
115102.0;"";"gui_0176";"icaa";"busqueda_nombre_exacta"
115222.0;"";"gui_0177";"icaa";"busqueda_nombre_exacta"
11523.0;"";"gui_0178";"icaa";"busqueda_nombre_exacta"
115621.0;"";"gui_0179";"icaa";"busqueda_nombre_exacta"
115718.0;"";"gui_0180";"icaa";"busqueda_nombre_exacta"
115718.0;"";"gui_0181";"icaa";"busqueda_nombre_exacta"
115723.0;"";"gui_0182";"icaa";"busqueda_nombre_exacta"
115723.0;"";"gui_0183";"icaa";"busqueda_nombre_exacta"
115823.0;"";"gui_0154";"icaa";"busqueda_nombre_exacta"
115823.0;"";"gui_0184";"icaa";"busqueda_nombre_exacta"
116018.0;"";"gui_0185";"icaa";"busqueda_nombre_exacta"
116124.0;"";"gui_0186";"icaa";"busqueda_nombre_exacta"
11621.0;"";"gui_0187";"icaa";"busqueda_nombre_exacta"
11622.0;"";"gui_0150";"icaa";"busqueda_nombre_exacta"
11622.0;"";"gui_0188";"icaa";"busqueda_nombre_exacta"
11623.0;"";"gui_0189";"icaa";"busqueda_nombre_exacta"
11722.0;"";"gui_0190";"icaa";"busqueda_nombre_exacta"
11722.0;"";"gui_0060";"icaa";"busqueda_nombre_exacta"
11722.0;"";"gui_0191";"icaa";"busqueda_nombre_exacta"
117721.0;"";"gui_0192";"icaa";"busqueda_nombre_exacta"
117721.0;"";"gui_0193";"icaa";"busqueda_nombre_exacta"
117721.0;"";"gui_0194";"icaa";"busqueda_nombre_exacta"
117918.0;"";"gui_0195";"icaa";"busqueda_nombre_exacta"
118750.0;"";"gui_0196";"icaa";"busqueda_nombre_exacta"
118750.0;"";"gui_0197";"icaa";"busqueda_nombre_exacta"
118920.0;"";"gui_0198";"icaa";"busqueda_nombre_exacta"
119216.0;"";"gui_0199";"icaa";"busqueda_nombre_exacta"
11923.0;"";"gui_0200";"icaa";"busqueda_nombre_exacta"
119516.0;"";"gui_0201";"icaa";"busqueda_nombre_exacta"
119718.0;"";"gui_0202";"icaa";"busqueda_nombre_exacta"
119718.0;"";"gui_0203";"icaa";"busqueda_nombre_exacta"
119718.0;"";"gui_0204";"icaa";"busqueda_nombre_exacta"
119821.0;"";"gui_0205";"icaa";"busqueda_nombre_exacta"
119918.0;"";"gui_0206";"icaa";"busqueda_nombre_exacta"
119918.0;"";"gui_0095";"icaa";"busqueda_nombre_exacta"
120021.0;"";"gui_0207";"icaa";"busqueda_nombre_exacta"
120022.0;"";"gui_0208";"icaa";"busqueda_nombre_exacta"
120022.0;"";"gui_0209";"icaa";"busqueda_nombre_exacta"
12024.0;"";"gui_0210";"icaa";"busqueda_nombre_exacta"
120307.0;"";"gui_0211";"icaa";"busqueda_nombre_exacta"
120313.0;"";"gui_0212";"icaa";"busqueda_nombre_exacta"
120318.0;"";"gui_0115";"icaa";"busqueda_nombre_exacta"
120318.0;"";"gui_0213";"icaa";"busqueda_nombre_exacta"
120418.0;"";"gui_0214";"icaa";"busqueda_nombre_exacta"
120418.0;"";"gui_0140";"icaa";"busqueda_nombre_exacta"
120423.0;"";"gui_0215";"icaa";"busqueda_nombre_exacta"
120423.0;"";"gui_0216";"icaa";"busqueda_nombre_exacta"
120523.0;"";"gui_0217";"icaa";"busqueda_nombre_exacta"
120618.0;"";"gui_0218";"icaa";"busqueda_nombre_exacta"
120724.0;"";"gui_0096";"icaa";"busqueda_nombre_exacta"
120724.0;"";"gui_0145";"icaa";"busqueda_nombre_exacta"
121219.0;"";"gui_0219";"icaa";"busqueda_nombre_exacta"
12122.0;"";"gui_0220";"icaa";"busqueda_nombre_exacta"
121624.0;"";"gui_0170";"icaa";"busqueda_nombre_exacta"
121718.0;"";"gui_0221";"icaa";"busqueda_nombre_exacta"
121819.0;"";"gui_0222";"icaa";"busqueda_nombre_exacta"
121823.0;"";"gui_0223";"icaa";"busqueda_nombre_exacta"
121823.0;"";"gui_0224";"icaa";"busqueda_nombre_aproximada"
122318.0;"";"gui_0225";"icaa";"busqueda_nombre_exacta"
122318.0;"";"gui_0226";"icaa";"busqueda_nombre_exacta"
122518.0;"";"gui_0227";"icaa";"busqueda_nombre_exacta"
122621.0;"";"gui_0228";"icaa";"busqueda_nombre_aproximada"
122818.0;"";"gui_0076";"icaa";"busqueda_nombre_exacta"
122818.0;"";"gui_0229";"icaa";"busqueda_nombre_exacta"
122910.0;"";"gui_0230";"icaa";"busqueda_nombre_exacta"
123018.0;"";"gui_0231";"icaa";"busqueda_nombre_exacta"
123023.0;"";"gui_0232";"icaa";"busqueda_nombre_exacta"
123023.0;"";"gui_0233";"icaa";"busqueda_nombre_exacta"
123122.0;"";"gui_0234";"icaa";"busqueda_nombre_exacta"
123393.0;"";"gui_0235";"icaa";"busqueda_nombre_exacta"
123421.0;"";"gui_0236";"icaa";"busqueda_nombre_exacta"
123503.0;"";"gui_0237";"icaa";"busqueda_nombre_exacta"
123503.0;"";"gui_0238";"icaa";"busqueda_nombre_exacta"
123518.0;"";"gui_0239";"icaa";"busqueda_nombre_exacta"
123624.0;"";"gui_0240";"icaa";"busqueda_nombre_exacta"
123717.0;"";"gui_0241";"icaa";"busqueda_nombre_exacta"
123717.0;"";"gui_0242";"icaa";"busqueda_nombre_exacta"
123723.0;"";"gui_0243";"icaa";"busqueda_nombre_exacta"
123918.0;"";"gui_0244";"icaa";"busqueda_nombre_exacta"
124017.0;"";"gui_0245";"icaa";"busqueda_nombre_exacta"
124318.0;"";"gui_0246";"icaa";"busqueda_nombre_exacta"
124318.0;"";"gui_0247";"icaa";"busqueda_nombre_exacta"
124422.0;"";"gui_0248";"icaa";"busqueda_nombre_exacta"
124422.0;"";"gui_0249";"icaa";"busqueda_nombre_exacta"
124702.0;"";"gui_0250";"icaa";"busqueda_nombre_exacta"
124702.0;"";"gui_0251";"icaa";"busqueda_nombre_exacta"
124718.0;"";"gui_0252";"icaa";"busqueda_nombre_exacta"
124718.0;"";"gui_0253";"icaa";"busqueda_nombre_exacta"
124718.0;"";"gui_0254";"icaa";"busqueda_nombre_exacta"
124817.0;"";"gui_0255";"icaa";"busqueda_nombre_exacta"
124817.0;"";"gui_0256";"icaa";"busqueda_nombre_exacta"
124824.0;"";"gui_0257";"icaa";"busqueda_nombre_exacta"
124918.0;"";"gui_0258";"icaa";"busqueda_nombre_exacta"
125123.0;"";"gui_0259";"icaa";"busqueda_nombre_exacta"
125123.0;"";"gui_0260";"icaa";"busqueda_nombre_exacta"
125621.0;"";"gui_0261";"icaa";"busqueda_nombre_aproximada"
125718.0;"";"gui_0262";"icaa";"busqueda_nombre_aproximada"
125823.0;"";"gui_0263";"icaa";"busqueda_nombre_exacta"
126114.0;"";"gui_0264";"icaa";"busqueda_nombre_exacta"
126114.0;"";"gui_0265";"icaa";"busqueda_nombre_exacta"
126125.0;"";"gui_0266";"icaa";"busqueda_nombre_exacta"
126125.0;"";"gui_0267";"icaa";"busqueda_nombre_exacta"
126723.0;"";"gui_0132";"icaa";"busqueda_nombre_exacta"
127008.0;"";"gui_0054";"icaa";"busqueda_nombre_exacta"
127008.0;"";"gui_0268";"icaa";"busqueda_nombre_exacta"
127019.0;"";"gui_0269";"icaa";"busqueda_nombre_exacta"
127204.0;"";"gui_0270";"icaa";"busqueda_nombre_exacta"
127723.0;"";"gui_0271";"icaa";"busqueda_nombre_exacta"
127724.0;"";"gui_0272";"icaa";"busqueda_nombre_exacta"
127724.0;"";"gui_0273";"icaa";"busqueda_nombre_exacta"
