"guionista_id";"person_id_tmdb";"nombre";"sexo";"fuente_sexo";"pais";"fuente_pais";"nombre_credito_original"
410;2422984;"Mauro Colombo";"hombre";"manual";"IT";"manual";""
411;1436791;"Alejandro Suárez Lozano";"hombre";"wikidata";"ES";"wikidata";""
412;5270914;"Nuria Martín Esteban";"";"";"";"";""
413;1541697;"Marta Buchaca";"mujer";"wikidata";"ES";"wikidata";""
414;93651;"Eduardo Sacheri";"hombre";"wikidata";"AR";"wikidata";""
415;84714;"Juan José Campanella";"hombre";"tmdb";"AR";"tmdb_heuristico";""
416;5503054;"Sergio Rodrigo Ruiz";"";"";"";"";""
417;1024687;"Gemma Ventura";"mujer";"tmdb";"";"";""
418;2016984;"Ana Graciani";"";"";"";"";""
419;1187864;"José Ángel Esteban";"";"";"";"";""
420;4424916;"Marta Espar";"";"";"ES";"tmdb_heuristico";""
421;3512702;"Jorge Navarro de Lemus";"";"";"";"";""
422;1152634;"Marcel Barrena";"hombre";"tmdb";"ES";"tmdb_heuristico";""
423;2435292;"Nerea Castro";"";"";"";"";""
424;1035833;"Vicente Villanueva";"hombre";"tmdb";"ES";"tmdb_heuristico";""
425;3233145;"Iker Elorrieta";"";"";"";"";""
426;2648709;"Flora González Villanueva";"";"";"";"";""
427;2545879;"Patxi Uriz";"";"";"";"";""
428;2545881;"Jordi Matas";"";"";"";"";""
429;2374150;"Tatiana Rodríguez";"";"";"";"";""
430;1261462;"Ramón Campos";"hombre";"tmdb";"ES";"tmdb_heuristico";""
431;1261463;"Gema R. Neira";"mujer";"tmdb";"ES";"tmdb_heuristico";""
432;2885188;"Javier Chacártegui";"";"";"";"";""
433;2747678;"Salvador S. Molina";"hombre";"tmdb";"ES";"wikidata";""
434;37526;"Fernando Trueba";"hombre";"tmdb";"ES";"tmdb_heuristico";""
435;4881904;"Rylend Grant";"";"";"";"";""
436;5790674;"Eva Montoya";"";"";"";"";""
437;1194904;"Pablo Maqueda";"hombre";"tmdb";"ES";"tmdb_heuristico";""
438;4580493;"José Cabanach";"";"";"";"";""
439;2928016;"Luís Gibert";"";"";"";"";""
440;1697308;"Diego López-Fernández";"hombre";"tmdb";"ES";"tmdb_heuristico";""
441;2000744;"Ione Atenea";"mujer";"tmdb";"ES";"tmdb_heuristico";""
442;1355193;"Igor Legarreta";"hombre";"wikidata";"ES";"wikidata";""
443;225972;"Jon Sagalá";"";"";"";"";""
444;3979041;"Miguel Mena";"";"";"";"";""
445;3701720;"Paula Labordeta";"";"";"";"";""
446;4813064;"Ángela Labordeta";"";"";"";"";""
447;5421335;"Azucena Carbajosa Rodriguez";"";"";"";"";""
448;1261502;"Màrius Sánchez";"hombre";"tmdb";"";"";""
449;2448460;"Silvia Merino";"";"";"";"";""
450;3405709;"Ana Liébana";"";"";"";"";""
451;2256047;"Javier Fernández Vázquez";"";"";"";"";""
452;130988;"Inés París";"mujer";"wikidata";"ES";"wikidata";""
453;15602;"Fernando León de Aranoa";"hombre";"tmdb";"ES";"tmdb_heuristico";""
454;1489447;"Alfred Pérez-Fargas";"hombre";"wikidata";"ES";"wikidata";""
455;1489446;"Roger Danès";"hombre";"wikidata";"ES";"wikidata";""
456;563855;"Juanma Bajo Ulloa";"hombre";"tmdb";"ES";"tmdb_heuristico";""
457;4470945;"Elisa Marinas";"";"";"";"";""
458;1021717;"Javier Corcuera";"hombre";"tmdb";"PE";"tmdb_heuristico";""
459;2556742;"Luis Mancha";"";"";"";"";""
460;1895984;"Néstor F. Dennis";"hombre";"tmdb";"";"";""
461;1851075;"Ivan Zekić";"hombre";"tmdb";"";"";""
462;5332377;"Vukasin Soc";"";"";"";"";""
463;1416286;"Mateja Popović";"hombre";"wikidata";"";"";""
464;1593464;"Stojan Đorđević";"hombre";"tmdb";"RS";"tmdb_heuristico";""
465;2135546;"Petar Mihajlović";"";"";"";"";""
466;2119721;"Boris Grgurović";"";"";"";"";""
467;5332384;"Jelena Andelovski";"";"";"";"";""
468;1034476;"Telmo Esnal";"hombre";"tmdb";"ES";"tmdb_heuristico";""
469;230209;"Ángeles González-Sinde";"mujer";"tmdb";"ES";"tmdb_heuristico";""
470;1012190;"Miguel Santesmases";"hombre";"tmdb";"ES";"wikidata";""
471;576087;"Javier Martín";"hombre";"tmdb";"ES";"tmdb_heuristico";""
472;132450;"José Corbacho";"hombre";"tmdb";"ES";"tmdb_heuristico";""
473;5299192;"Catalina Solivellas";"";"";"";"";""
474;234532;"Secun de la Rosa";"hombre";"tmdb";"ES";"tmdb_heuristico";""
475;588840;"Roberto Pérez Toledo";"hombre";"tmdb";"ES";"wikidata";""
476;1426746;"Joanes Urkixo";"hombre";"wikidata";"ES";"wikidata";""
477;2437353;"Inés Silva";"mujer";"manual";"ES";"manual";""
478;3195500;"Beatriz Iznaola";"mujer";"manual";"ES";"manual";""
479;1694893;"Pedro Martín Calero";"hombre";"manual";"ES";"manual";""
480;19842;"José Luis Cuerda";"hombre";"tmdb";"ES";"tmdb_heuristico";""
481;589003;"Norberto Ramos del Val";"hombre";"tmdb";"ES";"tmdb_heuristico";""
482;1322494;"César del Álamo";"";"";"";"";""
483;5040794;"Lorenzo Sanz Fernández";"";"";"";"";""
484;111090;"Javier Botet";"hombre";"tmdb";"ES";"tmdb_heuristico";""
485;589777;"Oscar Martín";"hombre";"manual";"";"manual";""
486;1282294;"David Pareja";"hombre";"tmdb";"ES";"wikidata";""
487;5640808;"Irene Bailo Carramiñana";"";"";"";"";""
488;2945902;"Celine Ducreux";"";"";"";"";""
489;2204600;"Senén Fernández";"";"";"";"";""
490;4923208;"Toni Andújar";"";"";"";"";""
491;4923210;"Erick Straver";"";"";"";"";""
492;3196456;"Alexis Vietti";"";"";"";"";""
493;236514;"Max Lemcke";"hombre";"wikidata";"ES";"wikidata";""
494;2941579;"Regina Álvarez Lorenzo";"mujer";"tmdb";"";"";""
495;1482515;"Olatz Arroyo";"";"";"";"";""
496;3632587;"Jose Manuel Rebollo";"hombre";"manual";"ES";"manual";""
497;3127742;"Cesar Vallejo";"";"";"";"";""
498;1649980;"Ángela Gallardo Bernal";"mujer";"tmdb";"ES";"manual";""
499;1063315;"David Esteban Cubero";"";"";"";"";""
500;2560103;"Nacho Álvarez";"hombre";"tmdb";"UY";"tmdb_heuristico";""
501;2560104;"Eduardo Navarro";"";"";"";"";""
502;4276328;"Octavio Lasheras";"";"";"";"";""
503;4543767;"Matías Boero Lutz";"";"";"";"";""
504;4282773;"Raúl Capdevila";"";"";"";"";""
505;2306392;"Ingrid Pokropek";"mujer";"tmdb";"AR";"wikidata";""
506;972158;"Ernesto Sevilla";"hombre";"tmdb";"ES";"tmdb_heuristico";""
507;1185970;"Miguel Esteban";"";"";"";"";""
508;114462;"Joaquín Reyes";"hombre";"tmdb";"ES";"tmdb_heuristico";""
509;4534713;"Yurre Ugarte";"mujer";"manual";"ES";"manual";""
510;1555116;"Fernando Salem";"hombre";"tmdb";"AR";"tmdb_heuristico";""
511;5065139;"Matías Goldberg";"hombre";"manual";"AR";"manual";""
512;1396455;"Claro García";"";"";"";"";""
513;2426873;"David Muñoz";"hombre";"tmdb";"";"";""
514;2258086;"Javier García Arredondo";"";"";"";"";""
515;4772220;"Juan Mayorga";"";"";"";"";""
516;6163639;"Paula Ortiz";"";"";"";"";""
517;2046902;"Richard Zubelzu";"";"";"";"";""
518;560258;"Tomàs Aragay";"hombre";"wikidata";"ES";"wikidata";""
519;73693;"Cesc Gay";"hombre";"tmdb";"ES";"tmdb_heuristico";""
520;4416357;"Gabriel Chicano";"";"";"";"";""
521;5376528;"Javier Canales Sepúlveda";"";"";"";"";""
522;2297013;"Elena Cid Sebastián";"";"";"";"";""
523;3039206;"Sandra García Nieto";"mujer";"manual";"ES";"manual";""
524;1211122;"Amèlia Mora";"";"";"";"";""
525;1097734;"Juan Luis de No";"hombre";"manual";"ES";"manual";""
526;4577431;"Jaime Noguera";"";"";"";"";""
527;2628918;"Sergio Dow";"hombre";"manual";"CO";"manual";""
528;5727167;"Carmen López";"mujer";"manual";"ES";"manual";""
529;8574;"Walter Salles";"hombre";"tmdb";"BR";"tmdb_heuristico";""
530;148766;"Rafa Russo";"hombre";"tmdb";"ES";"tmdb_heuristico";""
531;2706985;"Mario Parra";"";"";"";"";""
532;2289823;"Eric du Bellay";"";"";"";"";""
533;3016263;"Enrique García-Vázquez";"hombre";"tmdb";"ES";"tmdb_heuristico";""
534;3016268;"Lucía Lobato";"mujer";"tmdb";"ES";"tmdb_heuristico";""
535;3973127;"Pino de Pablos";"mujer";"tmdb";"ES";"tmdb_heuristico";""
536;5934164;"Juan San Martín";"";"";"";"";""
