"titulo";"distribuidora_pdf_heuristica";"fecha_estreno";"recaudacion";"espectadores";"anio";"anio_reposicion";"titulo_busqueda";"articulo"
"Carceles bolleras";"Independent";"04/07/2019";112.0;20;2022;"";"Carceles bolleras";""
"Ciudad activa, La";"Independent";"11/05/2022";112.0;61;2022;"";"Ciudad activa";"La"
"Sin señas particulares";"Wanda";"27/11/2020";106.0;49;2022;"";"Sin señas particulares";""
"Cartas mojadas";"Syldavia";"09/10/2020";106.0;49;2022;"";"Cartas mojadas";""
"Viaje mas largo, El";"Independent";"28/09/2022";106.0;34;2022;"";"Viaje mas largo";"El"
"Bi Anai (Dos Hermanos)";"Orio";"11/11/2011";104.0;18;2022;"";"Bi Anai (Dos Hermanos)";""
"Nightclubbing: The Birth of Punk Rock in NYC";"Independent";"29/10/2022";103.0;53;2022;"";"Nightclubbing: The Birth of Punk Rock in NYC";""
"Herederas";"Artistic Metropol";"28/08/2021";103.0;27;2022;"";"Herederas";""
"Cronica de una tormenta";"Syldavia";"30/04/2021";102.0;34;2022;"";"Cronica de una tormenta";""
"Elegido, El";"Filmax";"02/09/2016";99.0;18;2022;"";"Elegido";"El"
"Dardara";"Atera Films";"18/03/2021";98.0;16;2022;"";"Dardara";""
"Maragall i la Lluna";"Benece";"29/01/2021";98.0;14;2022;"";"Maragall i la Lluna";""
"Viaje de Julieta, El";"Independent";"26/08/2022";97.0;17;2022;"";"Viaje de Julieta";"El"
"Voces";"Entertainment One Films";"24/07/2020";95.0;19;2022;"";"Voces";""
"Comicos (1954) (re)";"Independent";"04/07/2022";94.0;22;2022;1954.0;"Comicos";""
"Esa pareja feliz (1951) (re)";"Independent";"14/04/2021";93.0;23;2022;1951.0;"Esa pareja feliz";""
"Calle Mayor (1956) (re)";"Independent";"06/10/2022";91.0;33;2022;1956.0;"Calle Mayor";""
"Antonio Machado. Los dias azules";"Summer Films";"04/12/2020";91.0;43;2022;"";"Antonio Machado. Los dias azules";""
"Paralelo 35 50";"Independent";"08/11/2022";86.0;16;2022;"";"Paralelo 35 50";""
"Paradoja de Antares, La";"Selected Films";"13/11/2022";84.0;34;2022;"";"Paradoja de Antares";"La"
"Posidonia";"Independent";"19/11/2021";83.0;62;2022;"";"Posidonia";""
"Todos lo saben";"Universal";"14/09/2018";83.0;18;2022;"";"Todos lo saben";""
"Emilio Prados, cazador de nubes";"Independent";"27/04/2022";81.0;15;2022;"";"Emilio Prados, cazador de nubes";""
"Psiconautas: Los niños olvidados";"La Luna de Tantan";"24/02/2017";81.0;24;2022;"";"Psiconautas: Los niños olvidados";""
"Ultima primavera, La";"El Sur Films";"31/03/2021";79.0;38;2022;"";"Ultima primavera";"La"
"Flowers pop art";"Independent";"27/03/2022";77.0;11;2022;"";"Flowers pop art";""
"Con la Pata Quebrada";"Independent";"13/06/2013";77.0;22;2022;"";"Con la Pata Quebrada";""
"Uno para todos";"A Contracorriente";"18/09/2020";77.0;43;2022;"";"Uno para todos";""
"Consecuencias, Las";"Syldavia";"17/09/2021";76.0;36;2022;"";"Consecuencias";"Las"
"Raphaelismo";"Independent";"28/06/2022";74.0;20;2022;"";"Raphaelismo";""
"Nannys Night, The";"Independent";"25/08/2022";71.0;11;2022;"";"Nannys Night, The";""
"Orquesta armada, Una";"Independent";"04/06/2022";70.0;18;2022;"";"Orquesta armada, Una";""
"Ramdel, memorias de un musico invisible";"Independent";"16/10/2022";67.0;10;2022;"";"Ramdel, memorias de un musico invisible";""
"Mujer ilegal, La";"Segarra";"11/12/2020";66.0;12;2022;"";"Mujer ilegal";"La"
"Pantalla andina, La";"Independent";"29/11/2022";65.0;13;2022;"";"Pantalla andina";"La"
"Enterrar y callar";"Independent";"14/07/2022";62.0;22;2022;"";"Enterrar y callar";""
"Mi tio Jacinto (1956) (re)";"Independent";"19/10/2022";61.0;18;2022;1956.0;"Mi tio Jacinto";""
"Barcelona Surf Destination";"Independent";"31/05/2022";61.0;10;2022;"";"Barcelona Surf Destination";""
"Abracadabra";"Sony";"04/08/2017";60.0;18;2022;"";"Abracadabra";""
"Tormento (1974) (re)";"Independent";"20/10/2022";60.0;17;2022;1974.0;"Tormento";""
"¿Puedes oirme?";"Paco Poch Cinema";"02/10/2020";58.0;12;2022;"";"¿Puedes oirme?";""
"Dead Slow Ahead (2015) (re)";"Independent";"28/10/2022";56.0;14;2022;2015.0;"Dead Slow Ahead";""
"Gernika";"Bteam Pictures";"09/09/2016";55.0;10;2022;"";"Gernika";""
"Antes de la quema";"Vertice";"07/06/2019";55.0;11;2022;"";"Antes de la quema";""
"Un hombre llamado Flor de Otoño (1978) (re)";"Independent";"21/10/2022";52.0;15;2022;1978.0;"Un hombre llamado Flor de Otoño";""
"No se apaguen las estrellas";"Independent";"17/06/2021";52.0;41;2022;"";"No se apaguen las estrellas";""
"Raymond Roussel: El dia de gloria";"Independent";"15/06/2022";51.0;11;2022;"";"Raymond Roussel: El dia de gloria";""
"Mundo es nuestro, El";"Festival Films";"22/06/2012";51.0;17;2022;"";"Mundo es nuestro";"El"
"Ay, Carmela (1990) (re)";"Independent";"13/11/2022";50.0;7;2022;1990.0;"Ay, Carmela";""
"Magaluf Ghost Town";"Begin Again Films";"26/11/2021";50.0;14;2022;"";"Magaluf Ghost Town";""
"Olea... ¡Más alto!";"Independent";"06/11/2020";49.0;23;2022;"";"Olea... ¡Más alto!";""
"Billy";"Begin Again Films";"17/09/2021";49.0;14;2022;"";"Billy";""
"Exploradores verticales";"Independent";"20/10/2022";48.0;7;2022;"";"Exploradores verticales";""
