"titulo";"distribuidora_pdf_heuristica";"fecha_estreno";"recaudacion";"espectadores";"anio";"anio_reposicion";"titulo_busqueda";"articulo"
"A todo tren. Destino Asturias";"Warner Bros";"08/07/2021";8493358.0;1500811;2021;"";"A todo tren. Destino Asturias";""
"Way Down";"Sony";"12/11/2021";5628247.0;887897;2021;"";"Way Down";""
"Operacion Camaron";"Walt Disney";"24/06/2021";3522415.0;597700;2021;"";"Operacion Camaron";""
"Buen patron, El";"Tri Pictures";"15/10/2021";3336892.0;528523;2021;"";"Buen patron";"El"
"Maixabel";"Walt Disney";"24/09/2021";2828416.0;515293;2021;"";"Maixabel";""
"Madres paralelas";"Sony";"08/10/2021";2627717.0;426582;2021;"";"Madres paralelas";""
"Mama o Papa";"Warner Bros";"17/12/2021";1814261.0;295223;2021;"";"Mama o Papa";""
"Familia perfecta, La";"Universal";"03/12/2021";1309944.0;202597;2021;"";"Familia perfecta";"La"
"D'Artacan y los tres mosqueperros";"A Contracorriente";"18/08/2021";1181161.0;216848;2021;"";"D'Artacan y los tres mosqueperros";""
"García y García";"A Contracorriente";"27/08/2021";1025363.0;176181;2021;"";"García y García";""
"Hasta el cielo";"Universal";"18/12/2020";1021719.0;156723;2021;"";"Hasta el cielo";""
"Descarrilados";"Sony";"20/08/2021";992014.0;171104;2021;"";"Descarrilados";""
"Leyes de la frontera, Las";"Warner Bros";"08/10/2021";662962.0;106359;2021;"";"Leyes de la frontera";"Las"
"Pan de limón con semillas de amapola";"Filmax";"12/11/2021";592770.0;100238;2021;"";"Pan de limón con semillas de amapola";""
"Mediterraneo";"DeAPlaneta";"01/10/2021";476277.0;77382;2021;"";"Mediterraneo";""
"Niñas, Las";"Bteam Pictures";"04/09/2020";380905.0;66339;2021;"";"Niñas";"Las"
"Tengamos la fiesta en Paz";"Infinito mas uno";"03/12/2021";299215.0;49764;2021;"";"Tengamos la fiesta en Paz";""
"España, la primera globalizacion";"Version Digital";"15/10/2021";297321.0;46170;2021;"";"España, la primera globalizacion";""
"Amor en su lugar, El";"A Contracorriente";"03/12/2021";295861.0;45774;2021;"";"Amor en su lugar";"El"
"Medjugorje, la pelicula";"European Dreams Factory";"01/10/2021";285740.0;44622;2021;"";"Medjugorje, la pelicula";""
"Poliamor para principiantes";"Vertice";"21/05/2021";272517.0;45292;2021;"";"Poliamor para principiantes";""
"Cuñados";"Filmax";"09/04/2021";265578.0;47127;2021;"";"Cuñados";""
"Chavalas";"Filmax";"03/09/2021";242260.0;41988;2021;"";"Chavalas";""
"Vivo";"Bosco Films";"09/04/2021";240946.0;37591;2021;"";"Vivo";""
"Hija, La";"Caramel Films";"26/11/2021";233277.0;39640;2021;"";"Hija";"La"
"Cuidado con lo que deseas";"A Contracorriente";"12/11/2021";220887.0;38595;2021;"";"Cuidado con lo que deseas";""
"Donde caben dos";"Filmax";"30/07/2021";216301.0;35779;2021;"";"Donde caben dos";""
"Refugio, El";"Filmax";"26/11/2021";180269.0;30188;2021;"";"Refugio";"El"
"Verano que vivimos, El";"Warner Bros";"04/12/2020";166605.0;27017;2021;"";"Verano que vivimos";"El"
"Agente Topo, El";"Bteam Pictures";"18/03/2021";159789.0;27653;2021;"";"Agente Topo";"El"
"Amanece en Calcuta";"European Dreams Factory";"16/04/2021";130827.0;21763;2021;"";"Amanece en Calcuta";""
"Casa del caracol, La";"Filmax";"11/06/2021";127149.0;20673;2021;"";"Casa del caracol";"La"
"Con quién viajas";"A Contracorriente";"10/09/2021";125764.0;22373;2021;"";"Con quién viajas";""
"Sustituto, El";"Karma";"29/10/2021";124451.0;20668;2021;"";"Sustituto";"El"
"Lodo, El";"Vertice";"10/12/2021";124354.0;20688;2021;"";"Lodo";"El"
"Sevillanas de Brooklyn";"Filmax";"17/09/2021";109508.0;20167;2021;"";"Sevillanas de Brooklyn";""
"Inconveniente, El";"Filmax";"18/12/2020";108614.0;19058;2021;"";"Inconveniente";"El"
"Sis dies corrents";"Filmax";"03/12/2021";97714.0;14683;2021;"";"Sis dies corrents";""
"Non Dago Mikel?";"Atera Films";"26/02/2021";82958.0;15061;2021;"";"Non Dago Mikel?";""
"Erase una vez en Euskadi";"Entertainment One Films";"29/10/2021";80415.0;14154;2021;"";"Erase una vez en Euskadi";""
"Cover, El";"Entertainment One Films";"23/07/2021";73105.0;12474;2021;"";"Cover";"El"
"Libertad";"Avalon Distribución";"19/11/2021";70455.0;11887;2021;"";"Libertad";""
"Sentimental";"Filmax";"30/10/2020";69584.0;10795;2021;"";"Sentimental";""
"Claret";"Proyecfilm";"24/09/2021";68567.0;13894;2021;"";"Claret";""
"Dardara";"Atera Films";"18/03/2021";66584.0;12128;2021;"";"Dardara";""
"Boda de Rosa, La";"Filmax";"21/08/2020";59492.0;10198;2021;"";"Boda de Rosa";"La"
"Nora";"Sherlock";"03/09/2021";57061.0;11078;2021;"";"Nora";""
"Club del paro, El";"Vertice";"17/09/2021";53224.0;9456;2021;"";"Club del paro";"El"
"Vida era eso, La";"Elamedia";"10/12/2021";53117.0;9124;2021;"";"Vida era eso";"La"
"Nieva en Benidorm";"Bteam Pictures";"11/12/2020";52318.0;9009;2021;"";"Nieva en Benidorm";""
"Ane";"Syldavia";"16/10/2020";50495.0;9228;2021;"";"Ane";""
"Semana Santa (re)";"ConUnPack";"01/02/2019";47860.0;1566;2021;"";"Semana Santa";""
"Vampira de Barcelona, La";"Filmax";"04/12/2020";42095.0;6280;2021;"";"Vampira de Barcelona";"La"
"Un efecto optico";"Filmin";"26/03/2021";37543.0;6105;2021;"";"Un efecto optico";""
"Akelarre";"Avalon Distribución";"02/10/2020";36213.0;6545;2021;"";"Akelarre";""
"Libertad";"A Contracorriente";"26/03/2021";34540.0;5867;2021;"";"Libertad";""
"100 dias con la Tata";"Bteam Pictures";"29/12/2021";34288.0;5522;2021;"";"100 dias con la Tata";""
"Piel del Volcan, La";"Las Hormigas negras";"21/05/2021";32452.0;5214;2021;"";"Piel del Volcan";"La"
"Todas las lunas (Ilargi Guztiak)";"Filmax";"14/05/2021";32401.0;5902;2021;"";"Todas las lunas (Ilargi Guztiak)";""
"Josep";"Filmin";"04/12/2020";32122.0;5030;2021;"";"Josep";""
"Año de la furia, El";"Filmax";"28/05/2021";30233.0;5368;2021;"";"Año de la furia";"El"
"Solo una vez";"A Contracorriente";"11/06/2021";26053.0;4652;2021;"";"Solo una vez";""
"Josefina";"Super 8";"05/11/2021";24989.0;4484;2021;"";"Josefina";""
"Consecuencias, Las";"Syldavia";"17/09/2021";24899.0;4436;2021;"";"Consecuencias";"Las"
"Espiritu sagrado";"Aventura Cine";"26/11/2021";23887.0;3846;2021;"";"Espiritu sagrado";""
"Ama";"Filmax";"16/07/2021";21943.0;3772;2021;"";"Ama";""
"Tierra Santa, El ultimo peregrino";"European Dreams Factory";"21/05/2021";20684.0;3428;2021;"";"Tierra Santa, El ultimo peregrino";""
"Adú";"Paramount Int'l";"31/01/2020";19557.0;3290;2021;"";"Adú";""
"Tres";"Filmax";"05/11/2021";19427.0;3256;2021;"";"Tres";""
"Destello bravio";"Filmin";"18/06/2021";19297.0;3143;2021;"";"Destello bravio";""
"Sueño de Sigena, El";"Alfa Pictures";"09/11/2021";19284.0;3502;2021;"";"Sueño de Sigena";"El"
"Hombre muerto no sabe vivir";"Filmax";"02/07/2021";19226.0;3275;2021;"";"Hombre muerto no sabe vivir";""
"Valentina";"Super 8";"10/12/2021";19116.0;3477;2021;"";"Valentina";""
"Nacion";"Atalante";"26/03/2021";18192.0;3483;2021;"";"Nacion";""
"Alegria";"Caramel Films";"10/12/2021";17824.0;2971;2021;"";"Alegria";""
"Quien lo impide";"Atalante";"22/10/2021";16529.0;2847;2021;"";"Quien lo impide";""
"Cronica de una tormenta";"Syldavia";"30/04/2021";16452.0;3168;2021;"";"Cronica de una tormenta";""
"Año del descubrimiento, El";"Begin Again Films";"13/11/2020";16447.0;2877;2021;"";"Año del descubrimiento";"El"
"Ons";"Bteam Pictures";"18/12/2020";15414.0;2817;2021;"";"Ons";""
"No mataras";"Filmax";"16/10/2020";15106.0;2488;2021;"";"No mataras";""
"Panteras";"Wanda";"05/11/2021";14064.0;2541;2021;"";"Panteras";""
"Maragall i la Lluna";"Benece";"29/01/2021";13077.0;2198;2021;"";"Maragall i la Lluna";""
"My Mexican Bretzel";"Avalon Distribución";"11/12/2020";12217.0;2083;2021;"";"My Mexican Bretzel";""
"Vientre del mar, El";"Elastica";"12/11/2021";11759.0;1967;2021;"";"Vientre del mar";"El"
"Dues nits d'ahir, Les (Las dos noches de ayer)";"Splendor Films";"12/03/2021";11697.0;1951;2021;"";"Dues nits d'ahir, Les (Las dos noches de ayer)";""
"Karen";"Begin Again Films";"04/06/2021";10881.0;1993;2021;"";"Karen";""
"Quince";"Independent";"20/03/2021";10434.0;2034;2021;"";"Quince";""
"Natura Bizia";"Barton";"16/04/2021";10280.0;1891;2021;"";"Natura Bizia";""
"Historias lamentables";"Morena Films";"11/06/2021";10262.0;1851;2021;"";"Historias lamentables";""
"Fantasma de la Sauna, El";"Sophia Network";"19/11/2021";10049.0;1611;2021;"";"Fantasma de la Sauna";"El"
"Mia y Moi";"Yedra";"21/05/2021";10039.0;1833;2021;"";"Mia y Moi";""
"Pica Pica Musical Especial Navidad";"Independent";"18/12/2020";9590.0;1570;2021;"";"Pica Pica Musical Especial Navidad";""
"Aita Mari";"Atera Films";"03/12/2021";9529.0;1746;2021;"";"Aita Mari";""
"Negro Purpura";"Begin Again Films";"24/09/2021";9066.0;1782;2021;"";"Negro Purpura";""
"Dia de la bestia, El (1995) (4k re)";"ConUnPack";"15/10/2021";8779.0;1596;2021;1995.0;"Dia de la bestia";"El"
"Maria Solinha";"Via Lactea";"26/11/2021";8296.0;1453;2021;"";"Maria Solinha";""
"Mujer ilegal, La";"Segarra";"11/12/2020";8285.0;1654;2021;"";"Mujer ilegal";"La"
"Surcos";"Phoenix Entertaiment";"28/05/2021";7563.0;1450;2021;"";"Surcos";""
"Caminho Longe";"Independent";"22/01/2021";7034.0;1162;2021;"";"Caminho Longe";""
"Un blues para Teheran";"Surtsey Films";"02/07/2021";6449.0;1223;2021;"";"Un blues para Teheran";""
"Lucas";"Begin Again Films";"25/06/2021";6353.0;1243;2021;"";"Lucas";""
"Escopeta nacional, La (1978)";"A Contracorriente";"18/06/2021";6137.0;1084;2021;1978.0;"Escopeta nacional";"La"
"Ombligo de Guie'dani, El";"El Sur Films";"12/02/2021";5892.0;1069;2021;"";"Ombligo de Guie'dani";"El"
"Bienvenidos a España";"Independent";"18/06/2021";5752.0;1085;2021;"";"Bienvenidos a España";""
"Algo salvaje. La historia de Bambino";"Phoenix Entertaiment";"19/11/2021";5466.0;1109;2021;"";"Algo salvaje. La historia de Bambino";""
"Bolante baten historia (Historia de un volante)";"Barton";"19/11/2021";5379.0;959;2021;"";"Bolante baten historia (Historia de un volante)";""
"Mami, La";"Elamedia";"23/10/2020";5174.0;937;2021;"";"Mami";"La"
"Salvar el arbol (Zutik!)";"Filmax";"22/10/2021";4974.0;979;2021;"";"Salvar el arbol (Zutik!)";""
"Antonio Machado. Los dias azules";"Summer Films";"04/12/2020";4917.0;1144;2021;"";"Antonio Machado. Los dias azules";""
"Gran Camino, El";"Super 8";"25/06/2021";4848.0;859;2021;"";"Gran Camino";"El"
"Uno para todos";"A Contracorriente";"18/09/2020";4665.0;863;2021;"";"Uno para todos";""
"7 Lagos, 7 Vidas";"Version Digital";"23/07/2021";4584.0;726;2021;"";"7 Lagos, 7 Vidas";""
"Olvido y Leon";"Empatia";"26/03/2021";4562.0;835;2021;"";"Olvido y Leon";""
"¡Corten!";"Filmin";"31/10/2021";4434.0;779;2021;"";"¡Corten!";""
"Viva montesa. La vida de un sueño";"Independent";"16/11/2021";4330.0;454;2021;"";"Viva montesa. La vida de un sueño";""
"Aztarnak-Huellas";"Barton";"15/10/2021";4300.0;730;2021;"";"Aztarnak-Huellas";""
"Album de posguerra";"Independent";"05/05/2021";4284.0;799;2021;"";"Album de posguerra";""
"Apaiz Kartzela (La carcel de curas)";"Syldavia";"26/11/2021";4097.0;700;2021;"";"Apaiz Kartzela (La carcel de curas)";""
"Dos";"Filmax";"23/07/2021";4059.0;703;2021;"";"Dos";""
"¿Que hicimos mal?";"Avalon Distribución";"10/12/2021";4014.0;672;2021;"";"¿Que hicimos mal?";""
"Eso que tu me das";"Warner Bros";"30/09/2020";3977.0;608;2021;"";"Eso que tu me das";""
"Billy";"Begin Again Films";"17/09/2021";3904.0;718;2021;"";"Billy";""
"Héroes. Silencio y Rock & Roll";"Heroes AIE";"22/04/2021";3900.0;569;2021;"";"Héroes. Silencio y Rock & Roll";""
"Wojtyla. La Investigacion";"European Dreams Factory";"14/08/2020";3809.0;641;2021;"";"Wojtyla. La Investigacion";""
"Mr. Hand Solo";"Filmax";"26/03/2021";3792.0;567;2021;"";"Mr. Hand Solo";""
"Arte de volver, El";"Filmax";"11/12/2020";3729.0;605;2021;"";"Arte de volver";"El"
"Ultima primavera, La";"El Sur Films";"31/03/2021";3724.0;632;2021;"";"Ultima primavera";"La"
"Inocentes, Los";"El Sur Films";"12/03/2021";3504.0;726;2021;"";"Inocentes";"Los"
"Voz humana, La";"Wanda - Avalon";"21/10/2020";3492.0;777;2021;"";"Voz humana";"La"
"Traidores";"Begin Again Films";"26/03/2021";3483.0;561;2021;"";"Traidores";""
"Zurbaran y sus doce hijos";"Independent";"06/11/2020";3367.0;569;2021;"";"Zurbaran y sus doce hijos";""
"Mendian Hil, Hirian Hil";"Independent";"12/03/2021";3034.0;568;2021;"";"Mendian Hil, Hirian Hil";""
"Finlandia";"Independent";"10/11/2021";2944.0;477;2021;"";"Finlandia";""
"Cartas mojadas";"Syldavia";"09/10/2020";2892.0;520;2021;"";"Cartas mojadas";""
"Armugan, el ultimo acabador";"Independent";"07/05/2021";2881.0;519;2021;"";"Armugan, el ultimo acabador";""
"Terra de telers (Memoria de telares 2020)";"Independent";"11/12/2020";2792.0;516;2021;"";"Terra de telers (Memoria de telares 2020)";""
"Retorno, El: la vida despues del ISIS";"Independent";"27/05/2021";2784.0;482;2021;"";"Retorno, El: la vida despues del ISIS";""
"Nur y el templo del dragon";"Barton";"02/06/2017";2618.0;1676;2021;"";"Nur y el templo del dragon";""
"Maquis, el silencio";"Independent";"10/12/2021";2599.0;376;2021;"";"Maquis, el silencio";""
"Zerø";"Begin Again Films";"23/04/2021";2558.0;415;2021;"";"Zerø";""
"Rey de todo el mundo, El";"Syldavia";"12/11/2021";2487.0;420;2021;"";"Rey de todo el mundo";"El"
"Urtzen";"Atera Films";"22/04/2021";2446.0;497;2021;"";"Urtzen";""
"Salvador Dali. Diarios de juventud";"Independent";"09/03/2021";2442.0;425;2021;"";"Salvador Dali. Diarios de juventud";""
"Padre no hay mas que uno 2: La llegada de la suegra";"Sony";"29/07/2020";2439.0;622;2021;"";"Padre no hay mas que uno 2: La llegada de la suegra";""
"Baby";"Festival Films";"18/12/2020";2437.0;421;2021;"";"Baby";""
"Cuarto de Mona, El";"Independent";"19/11/2021";2412.0;432;2021;"";"Cuarto de Mona";"El"
"Fantasia de juventud";"Independent";"04/12/2020";2330.0;606;2021;"";"Fantasia de juventud";""
"Mironins. La pelicula";"Independent";"03/12/2021";2236.0;468;2021;"";"Mironins. La pelicula";""
"Precio del progreso, El";"39 Escalones";"16/10/2020";2155.0;311;2021;"";"Precio del progreso";"El"
"Una luz en la oscuridad";"Phoenix Entertaiment";"22/01/2021";2128.0;392;2021;"";"Una luz en la oscuridad";""
"Islandia, el refugio perfecto";"Independent";"02/05/2021";2121.0;327;2021;"";"Islandia, el refugio perfecto";""
"Arcadeología";"Independent";"29/07/2021";2107.0;344;2021;"";"Arcadeología";""
"Periferia";"Independent";"09/06/2021";2045.0;323;2021;"";"Periferia";""
"Gallina Turuleca, La";"Filmax";"01/01/2020";1914.0;390;2021;"";"Gallina Turuleca";"La"
"A este lado de la carretera";"Independent";"03/12/2021";1914.0;369;2021;"";"A este lado de la carretera";""
"Callejeras";"Summer Films";"08/10/2021";1898.0;395;2021;"";"Callejeras";""
"Sombra, La";"Phoenix Entertaiment";"25/06/2021";1897.0;381;2021;"";"Sombra";"La"
"Magaluf Ghost Town";"Begin Again Films";"26/11/2021";1861.0;295;2021;"";"Magaluf Ghost Town";""
"Tristesse";"Hemisphere Films";"29/01/2021";1816.0;302;2021;"";"Tristesse";""
"Descubriendo a Jose Padilla";"Film Buro";"29/12/2020";1807.0;310;2021;"";"Descubriendo a Jose Padilla";""
"Ultima cena, La";"ConUnPack";"10/12/2021";1796.0;291;2021;"";"Ultima cena";"La"
"A media voz";"Elamedia";"18/12/2020";1748.0;306;2021;"";"A media voz";""
"Victoria 2030";"Tus Ojos";"09/05/2021";1707.0;387;2021;"";"Victoria 2030";""
"A este lado del mundo";"Buenavida";"25/09/2020";1696.0;434;2021;"";"A este lado del mundo";""
"Acordes de la memoria, Los";"Independent";"30/05/2021";1695.0;397;2021;"";"Acordes de la memoria";"Los"
"Padre no hay mas que uno";"Sony";"01/08/2019";1655.0;248;2021;"";"Padre no hay mas que uno";""
"Viajante, La";"Begin Again Films";"02/07/2021";1636.0;296;2021;"";"Viajante";"La"
"Lobster Soup";"Independent";"21/10/2020";1633.0;273;2021;"";"Lobster Soup";""
"Pasion, segun Pep Amores, La";"Independent";"01/10/2021";1599.0;228;2021;"";"Pasion, segun Pep Amores";"La"
"Aczion";"Yelmo";"04/11/2021";1491.0;173;2021;"";"Aczion";""
"Sedimentos";"Begin Again Films";"05/11/2021";1488.0;304;2021;"";"Sedimentos";""
"Fantasia";"Vitrine Filmes";"26/11/2021";1472.0;254;2021;"";"Fantasia";""
"Astrid";"Avisual Concept";"27/02/2021";1471.0;242;2021;"";"Astrid";""
"Nueve Sevillas";"Elamedia";"19/11/2021";1425.0;423;2021;"";"Nueve Sevillas";""
"Basotik itsasora (Del bosque al mar)";"Independent";"05/06/2021";1425.0;95;2021;"";"Basotik itsasora (Del bosque al mar)";""
"Hombre que lo queria ver todo, El";"Independent";"25/03/2021";1414.0;276;2021;"";"Hombre que lo queria ver todo";"El"
"Invisibles";"Wanda";"06/03/2020";1389.0;409;2021;"";"Invisibles";""
"Ombligo";"Independent";"25/06/2021";1371.0;273;2021;"";"Ombligo";""
"Extraño viaje, El (1964)";"A Contracorriente";"22/10/2021";1326.0;350;2021;1964.0;"Extraño viaje";"El"
"De Dali a Miquel";"Independent";"09/04/2021";1306.0;219;2021;"";"De Dali a Miquel";""
"Club del pino solitario, El";"Independent";"10/06/2021";1304.0;175;2021;"";"Club del pino solitario";"El"
"Terremoto";"Begin Again Films";"08/10/2021";1296.0;276;2021;"";"Terremoto";""
"Carceller. El hombre que murio dos veces";"Independent";"18/11/2021";1292.0;180;2021;"";"Carceller. El hombre que murio dos veces";""
"Herencia";"Begin Again Films";"14/05/2021";1282.0;224;2021;"";"Herencia";""
"Canciones de horror";"Independent";"16/10/2021";1148.0;164;2021;"";"Canciones de horror";""
"Enero";"Independent";"28/09/2020";1132.0;221;2021;"";"Enero";""
"Lo que arde";"Atalante";"11/10/2019";1074.0;187;2021;"";"Lo que arde";""
"Subterraneos, Los";"Independent";"07/05/2021";1020.0;153;2021;"";"Subterraneos";"Los"
"Primera mujer, La";"Begin Again Films";"10/12/2021";998.0;187;2021;"";"Primera mujer";"La"
"Este amor es de otro planeta";"CineAND Distribución";"31/03/2021";960.0;166;2021;"";"Este amor es de otro planeta";""
"Cumbre es el camino, La";"Independent";"24/03/2021";954.0;152;2021;"";"Cumbre es el camino";"La"
"75 dias";"Independent";"31/05/2021";930.0;254;2021;"";"75 dias";""
"Trinchera infinita, La";"Entertainment One Films";"31/10/2019";907.0;222;2021;"";"Trinchera infinita";"La"
"Mujeres de sal, hombres de humo";"Independent";"24/06/2021";878.0;209;2021;"";"Mujeres de sal, hombres de humo";""
"Posidonia";"Independent";"19/11/2021";875.0;185;2021;"";"Posidonia";""
"Un tiempo precioso";"Independent";"17/07/2020";865.0;232;2021;"";"Un tiempo precioso";""
"Hilo dorado, El";"Independent";"10/12/2021";859.0;190;2021;"";"Hilo dorado";"El"
"Auteretrato";"Urresti Producciones";"13/09/2019";838.0;175;2021;"";"Auteretrato";""
"Más allá de las estrellas. Fotografiando un agujero negro";"ConUnPack";"10/05/2021";829.0;137;2021;"";"Más allá de las estrellas. Fotografiando un agujero negro";""
"Retrato de mujer blanca con pelo cano y arrugas";"Independent";"19/11/2021";821.0;135;2021;"";"Retrato de mujer blanca con pelo cano y arrugas";""
"De quijotes y semillas";"Ultreia";"23/08/2021";814.0;169;2021;"";"De quijotes y semillas";""
"Serrat y Sabina: El Simbolo y el Cuate";"Alfa Pictures";"27/09/2013";803.0;153;2021;"";"Serrat y Sabina: El Simbolo y el Cuate";""
"Pasion por el cine: trio musical";"Independent";"09/09/2021";780.0;65;2021;"";"Pasion por el cine: trio musical";""
"Voiceless. El genocidio silenciado";"Cosmo Fan Comunicacion";"13/11/2021";744.0;109;2021;"";"Voiceless. El genocidio silenciado";""
"Murillo, el ultimo viaje";"Version Digital";"17/11/2017";718.0;110;2021;"";"Murillo, el ultimo viaje";""
"Revolución bailando, La";"Begin Again Films";"12/11/2021";706.0;111;2021;"";"Revolución bailando";"La"
"Pero que todos sepan que no he muerto";"39 Escalones";"02/03/2018";702.0;137;2021;"";"Pero que todos sepan que no he muerto";""
"Amalia en otoño";"Abanico Vision";"20/11/2020";674.0;115;2021;"";"Amalia en otoño";""
"Buñuel, un cineasta surrealista";"Sherlock";"05/11/2021";674.0;113;2021;"";"Buñuel, un cineasta surrealista";""
"Breathe";"Filmin";"25/11/2021";671.0;102;2021;"";"Breathe";""
"Palabra maldita, La";"Independent";"29/10/2021";658.0;188;2021;"";"Palabra maldita";"La"
"Gora Automatikoa";"39 Escalones";"17/12/2021";641.0;95;2021;"";"Gora Automatikoa";""
"El que la lleva la entiende";"Zeta";"29/03/2021";636.0;150;2021;"";"El que la lleva la entiende";""
"En attendant mai";"Independent";"06/05/2021";635.0;130;2021;"";"En attendant mai";""
"Entre perro y lobo";"Begin Again Films";"18/06/2021";632.0;123;2021;"";"Entre perro y lobo";""
"Nos queda la noche";"Independent";"19/03/2021";630.0;126;2021;"";"Nos queda la noche";""
"Moros y Cristianos (1987)";"A Contracorriente";"20/08/2021";628.0;127;2021;1987.0;"Moros y Cristianos";""
"Impuros";"Sherlock";"29/10/2021";602.0;115;2021;"";"Impuros";""
"Miss Futuro";"Independent";"22/11/2021";583.0;70;2021;"";"Miss Futuro";""
"Reboiras. Acción e corazon";"Independent";"14/08/2020";576.0;117;2021;"";"Reboiras. Acción e corazon";""
"Dehesa, el bosque del lince iberico";"Wanda";"09/10/2020";570.0;116;2021;"";"Dehesa, el bosque del lince iberico";""
"Pa'tras, ni pa'tomar impulso";"Filmax";"27/11/2020";560.0;107;2021;"";"Pa'tras, ni pa'tomar impulso";""
"Hil-Kanpaiak (Campanadas a muerto)";"Barton";"20/11/2020";557.0;99;2021;"";"Hil-Kanpaiak (Campanadas a muerto)";""
"Plan, El";"Filmax";"21/02/2020";554.0;116;2021;"";"Plan";"El"
"Dear Werner (Walking On Cinema)";"Llanero Films";"20/11/2020";551.0;95;2021;"";"Dear Werner (Walking On Cinema)";""
"Jueves, milagro, Los (1957) (re)";"Independent";"06/05/2021";551.0;131;2021;1957.0;"Jueves, milagro";"Los"
"Hija de un ladron, La";"Bteam Pictures";"29/11/2019";546.0;107;2021;"";"Hija de un ladron";"La"
"Sonic Fantasy";"Independent";"28/10/2021";546.0;197;2021;"";"Sonic Fantasy";""
"Camagroga";"Independent";"15/09/2021";544.0;136;2021;"";"Camagroga";""
"Placido (1961) (re)";"Independent";"03/12/2018";541.0;128;2021;1961.0;"Placido";""
"Godot";"Phoenix Entertaiment";"19/02/2021";535.0;125;2021;"";"Godot";""
"Formentor, el mar de las palabras";"Independent";"04/06/2021";532.0;103;2021;"";"Formentor, el mar de las palabras";""
"Piel de barro";"Independent";"30/08/2021";530.0;86;2021;"";"Piel de barro";""
"Calabuch (1956) (re)";"Independent";"28/04/2021";523.0;125;2021;1956.0;"Calabuch";""
"Greco El, pintor de lo invisible";"Version Digital";"12/03/2019";520.0;83;2021;"";"Greco El, pintor de lo invisible";""
"Singled (Out)";"Independent";"14/06/2018";520.0;89;2021;"";"Singled (Out)";""
"Reportero, El (1975) (re)";"Universal";"18/03/2021";508.0;103;2021;1975.0;"Reportero";"El"
"Ez, Eskerrik asko! La ventana de Gladys";"Hiru Damatxo";"23/03/2021";505.0;145;2021;"";"Ez, Eskerrik asko! La ventana de Gladys";""
"Vida por delante, La (1958) (re)";"A Contracorriente";"16/09/2021";486.0;135;2021;1958.0;"Vida por delante";"La"
"Loba parda, La";"Independent";"15/01/2021";471.0;121;2021;"";"Loba parda";"La"
"Anatomia de un Dandy";"Malvalanda";"20/11/2020";465.0;80;2021;"";"Anatomia de un Dandy";""
"Esa pareja feliz (1951) (re)";"Independent";"14/04/2021";464.0;161;2021;1951.0;"Esa pareja feliz";""
"Occidente";"El Dedo en el Ojo";"18/03/2021";460.0;75;2021;"";"Occidente";""
"Desmontando armarios";"Independent";"03/12/2020";456.0;92;2021;"";"Desmontando armarios";""
"Lesa Humanitat";"Segarra";"22/12/2017";449.0;85;2021;"";"Lesa Humanitat";""
"Red de libertad";"Proyecfilm";"20/10/2017";426.0;71;2021;"";"Red de libertad";""
"No hay piedad para los condenados";"Independent";"10/12/2021";425.0;89;2021;"";"No hay piedad para los condenados";""
"Absolucion";"Independent";"02/06/2021";425.0;121;2021;"";"Absolucion";""
"Palomos, Los (1964) (re)";"A Contracorriente";"16/09/2021";418.0;107;2021;1964.0;"Palomos";"Los"
"Depedro - Todo va a salir bien";"Version Digital";"16/12/2021";418.0;53;2021;"";"Depedro - Todo va a salir bien";""
"Europeos, Los";"Filmax";"20/11/2020";414.0;87;2021;"";"Europeos";"Los"
"Ley del embudo, La";"Acfilms";"23/07/2021";414.0;64;2021;"";"Ley del embudo";"La"
"Asfixia, La";"Independent";"07/05/2021";412.0;87;2021;"";"Asfixia";"La"
"Sin Limite";"Begin Again Films";"03/12/2021";407.0;59;2021;"";"Sin Limite";""
"Yo mate a Ralph Greene";"Inflamavle";"20/03/2021";401.0;64;2021;"";"Yo mate a Ralph Greene";""
"Piedra patria";"Independent";"12/12/2021";399.0;57;2021;"";"Piedra patria";""
"Hijas de Cynisca";"Super 8";"29/11/2019";399.0;59;2021;"";"Hijas de Cynisca";""
"Drogas, El";"Golem";"25/09/2020";395.0;92;2021;"";"Drogas";"El"
"Nicaragua, patria libre para vivir";"Independent";"29/04/2021";393.0;159;2021;"";"Nicaragua, patria libre para vivir";""
"Abuelo Victor, El";"Independent";"27/04/2021";391.0;72;2021;"";"Abuelo Victor";"El"
"Patrimonio nacional (1981) (re)";"Independent";"02/05/2021";387.0;133;2021;1981.0;"Patrimonio nacional";""
"Ego";"Begin Again Films";"01/12/2021";383.0;55;2021;"";"Ego";""
"Circulo, El";"Nanouk Films";"08/09/2021";381.0;62;2021;"";"Circulo";"El"
"Bury Us! A Punk Rock Uprising";"Independent";"05/06/2021";380.0;96;2021;"";"Bury Us! A Punk Rock Uprising";""
"Odisea de los Giles, La";"Alfa Pictures";"29/11/2019";367.0;72;2021;"";"Odisea de los Giles";"La"
"15 horas";"Independent";"27/11/2021";359.0;67;2021;"";"15 horas";""
"Aguantando er tipo";"Independent";"30/09/2021";357.0;81;2021;"";"Aguantando er tipo";""
"Chavela";"Syldavia";"16/06/2017";345.0;63;2021;"";"Chavela";""
"Amigo";"El Ojo Mecanico";"09/11/2020";343.0;67;2021;"";"Amigo";""
